Question,Answer,Category,URL
如何在本地目录与云应用程序之间设置 SSO？,只需在本地目录与 Azure AD 之间设置单一登录 (SSO)。 只要通过 Azure AD 访问云应用程序，该服务就会自动让用户使用其本地凭据正确进行身份验证。\n\n可以通过联合身份验证解决方案（例如 Active Directory 联合身份验证服务 (AD FS)）或通过配置密码哈希同步，轻松地从本地实现 SSO。可以使用 Azure AD Connect 配置向导轻松部署这两个选项。\n\n有关详细信息，请参阅[将本地标识与 Azure Active Directory 集成](https://docs.azure.cn/active-directory/connect/active-directory-aadconnect),active directory,https://docs.azure.cn/active-directory/active-directory-faq
如何将我的本地目录连接到 Azure AD？,可以使用 Azure AD Connect 将本地目录连接到 Azure AD。\n\n有关详细信息，请参阅[将本地标识与 Azure Active Directory 集成](https://docs.azure.cn/active-directory/connect/active-directory-aadconnect)。,active directory,https://docs.azure.cn/active-directory/active-directory-faq
是否可以对 Azure AD 管理员管理的密码使用密码写回？,可以对Azure AD 管理员管理的密码使用密码写回。如果已启用密码写回，管理员执行的密码操作将写回到用户的本地环境。,active directory,https://docs.azure.cn/active-directory/active-directory-faq
如果我已被添加为协作者，该如何离开原来的租户？,"如果被作为协作者添加到另一组织的租户，可使用右上角的""租户切换器""在租户之间切换。 目前还无法主动离开邀请组织，Microsoft 正致力于提供该功能。 在该功能推出之前，可以请求邀请组织将你从其租户中删除。",active directory,https://docs.azure.cn/active-directory/active-directory-faq
更改Azure AD密码时忘记现有密码怎么办？,对于这种情况，有几个选项。 在可用的情况下，使用自助密码重置 (SSPR)。 SSPR 是否适用取决于其配置方式。 \n\n对于 Office 365 用户，管理员可以使用 [重置用户密码](https://support.office.com/en-us/article/Admins-Reset-user-passwords-7A5D073B-7FAE-4AA5-8F96-9ECD041ABA9C?ui=en-US&rs=en-US&ad=US)中所述的步骤重置密码。\n\n对于 Azure AD 帐户，管理员可以使用以下选项之一重置密码：\n\n*   [在经典管理门户中重置帐户](https://docs.azure.cn/active-directory/active-directory-create-users-reset-password)\n*   [使用 PowerShell](https://docs.microsoft.com/powershell/module/msonline/set-msoluserpassword?view=azureadps-1.0),active directory,https://docs.azure.cn/active-directory/active-directory-faq
更改Office 365密码时忘记现有密码，怎么办？,对于这种情况，有几个选项。 在可用的情况下，使用自助密码重置 (SSPR)。 SSPR 是否适用取决于其配置方式。 \n\n对于 Office 365 用户，管理员可以使用 [重置用户密码](https://support.office.com/en-us/article/Admins-Reset-user-passwords-7A5D073B-7FAE-4AA5-8F96-9ECD041ABA9C?ui=en-US&rs=en-US&ad=US)中所述的步骤重置密码。\n\n对于 Azure AD 帐户，管理员可以使用以下选项之一重置密码：\n\n*   [在经典管理门户中重置帐户](https://docs.azure.cn/active-directory/active-directory-create-users-reset-password)\n*   [使用 PowerShell](https://docs.microsoft.com/powershell/module/msonline/set-msoluserpassword?view=azureadps-1.0),active directory,https://docs.azure.cn/active-directory/active-directory-faq
问：如果尝试更改 Office 365/Azure AD 密码时忘记了现有的密码，该怎么办？,对于这种情况，有几个选项。 在可用的情况下，使用自助密码重置 (SSPR)。 SSPR 是否适用取决于其配置方式。 \n\n对于 Office 365 用户，管理员可以使用 [重置用户密码](https://support.office.com/en-us/article/Admins-Reset-user-passwords-7A5D073B-7FAE-4AA5-8F96-9ECD041ABA9C?ui=en-US&rs=en-US&ad=US)中所述的步骤重置密码。\n\n对于 Azure AD 帐户，管理员可以使用以下选项之一重置密码：\n\n*   [在经典管理门户中重置帐户](https://docs.azure.cn/active-directory/active-directory-create-users-reset-password)\n*   [使用 PowerShell](https://docs.microsoft.com/powershell/module/msonline/set-msoluserpassword?view=azureadps-1.0),active directory,https://docs.azure.cn/active-directory/active-directory-faq
"某些（常用）密码被拒绝并显示消息""此密码已使用多次""，这是指当前 Active Directory 中使用的密码吗？","这是指全局通用的密码，例如""Password""和""123456""的任何变体。",active directory,https://docs.azure.cn/active-directory/active-directory-faq
使用 Azure 资源管理器模板创建 API 管理服务实例？, 可以使用 Azure 资源管理器模板创建 API 管理服务实例，请参阅 [Azure API 管理服务](http://aka.ms/apimtemplate)快速入门模板。,api management,https://docs.azure.cn/api-management/api-management-faq
可不可以使用 Azure 资源管理器模板创建 API 管理服务实例？, 可以使用 Azure 资源管理器模板创建 API 管理服务实例，请参阅 [Azure API 管理服务](http://aka.ms/apimtemplate)快速入门模板。,api management,https://docs.azure.cn/api-management/api-management-faq
可不可以使用模板创建 API 管理服务实例？, 可以使用 Azure 资源管理器模板创建 API 管理服务实例，请参阅 [Azure API 管理服务](http://aka.ms/apimtemplate)快速入门模板。,api management,https://docs.azure.cn/api-management/api-management-faq
是否可以使用 Azure 资源管理器模板创建 API 管理服务实例？, 可以使用 Azure 资源管理器模板创建 API 管理服务实例，请参阅 [Azure API 管理服务](http://aka.ms/apimtemplate)快速入门模板。,api management,https://docs.azure.cn/api-management/api-management-faq
能不能使用 Azure 资源管理器模板创建 API 管理服务实例？, 可以使用 Azure 资源管理器模板创建 API 管理服务实例，请参阅 [Azure API 管理服务](http://aka.ms/apimtemplate)快速入门模板。,api management,https://docs.azure.cn/api-management/api-management-faq
为什么在资源管理器模式的 VNET 中部署 API 管理时需要专用子网？,API 管理需要专用子网，因为它建立在经典（PAAS V1 层）部署模型之上。 虽然也可以在资源管理器 VNET（V2 层）中进行部署，但这样会导致后续问题。 Azure 中的经典部署模型与资源管理器模型结合不紧密，因此如果在 V2 层中创建资源，V1 层会毫不知情，这样会发生问题，例如 API 管理会尝试使用已经分配给 NIC（在 V2 上构建）的 IP。 若要深入了解 Azure 中经典模型和资源管理器模型的差异，请参阅[部署模型的差异](https://docs.azure.cn/azure-resource-manager/resource-manager-deployment-model)。,api management,https://docs.azure.cn/api-management/api-management-faq
Azure API 管理是否适用于 Azure ExpressRoute？,Azure API 管理适用于 Azure ExpressRoute。,api management,https://docs.azure.cn/api-management/api-management-faq
如何向 Azure API 管理员组添加用户？,下面是向 Azure API 管理员组添加用户的方法：\n\n1.  登录到 [Azure 门户](https://portal.azure.cn/)。\n2.  转到具有要更新的 API 管理实例的资源组。\n3.  在 API 管理中，将 API 管理参与者角色分配给该用户。\n\n现在，新添加的参与者可以使用 Azure PowerShell [cmdlet](https://msdn.microsoft.com/library/mt613507.aspx)。 下面是以管理员身份登录的方法：\n\n1.  使用 `Login-AzureRmAccount -Environment $(Get-AzureRmEnvironment -Name AzureChinaCloud)` cmdlet 登录。\n2.  使用 `` 将上下文设置为具有该服务的订阅。\n3.  使用 `` 获取单一登录 URL。\n4.  使用 URL 访问管理门户。,api management,https://docs.azure.cn/api-management/api-management-faq
如何将资源从一个订阅移到另一个订阅？,可以将 API 管理服务从一个订阅移到另一个订阅。要了解操作方法，请参阅[将资源移动到新资源组或订阅](https://docs.azure.cn/azure-resource-manager/resource-group-move-resources),api management,https://docs.azure.cn/api-management/api-management-faq
怎么将API管理服务移到另一个订阅？,可以将 API 管理服务从一个订阅移到另一个订阅。要了解操作方法，请参阅[将资源移动到新资源组或订阅](https://docs.azure.cn/azure-resource-manager/resource-group-move-resources),api management,https://docs.azure.cn/api-management/api-management-faq
怎样将资源从一个订阅移到另一个订阅？,可以将 API 管理服务从一个订阅移到另一个订阅。要了解操作方法，请参阅[将资源移动到新资源组或订阅](https://docs.azure.cn/azure-resource-manager/resource-group-move-resources),api management,https://docs.azure.cn/api-management/api-management-faq
是否可将 API 管理服务从一个订阅移到另一个订阅？,可以将 API 管理服务从一个订阅移到另一个订阅。要了解操作方法，请参阅[将资源移动到新资源组或订阅](https://docs.azure.cn/azure-resource-manager/resource-group-move-resources),api management,https://docs.azure.cn/api-management/api-management-faq
能不能将API管理服务从一个订阅移到另一个订阅？,可以将 API 管理服务从一个订阅移到另一个订阅。要了解操作方法，请参阅[将资源移动到新资源组或订阅](https://docs.azure.cn/azure-resource-manager/resource-group-move-resources),api management,https://docs.azure.cn/api-management/api-management-faq
API 管理是否可以为后端使用自签名 SSL 证书？,"可以通过 PowerShell 或直接提交到 API 来为 API 管理后端添加自签名 SSL 证书。 这将禁用证书链验证，并将允许在从 API 管理与后端服务进行通信时使用自签名或私人签名证书。\n\n#### Powershell 方法\n\n使用 [`New-AzureRmApiManagementBackend`](https://docs.microsoft.com/en-us/powershell/module/azurerm.apimanagement/new-azurermapimanagementbackend)（适用于新后端）或 [`Set-AzureRmApiManagementBackend`](https://docs.microsoft.com/en-us/powershell/module/azurerm.apimanagement/set-azurermapimanagementbackend)（适用于现有后端）PowerShell cmdlet 并将 `-SkipCertificateChainValidation` 参数设置设为 `True`。 \n\n`$context = New-AzureRmApiManagementContext -resourcegroup 'ContosoResourceGroup' -servicename 'ContosoAPIMService' New-AzureRmApiManagementBackend -Context $context -Url 'https://contoso.com/myapi' -Protocol http -SkipCertificateChainValidation $true `\n\n#### 直接 API 更新方法\n\n1.  使用 API 管理创建[后端](https://msdn.microsoft.com/library/azure/dn935030.aspx)实体。 \n2.  将""skipCertificateChainValidation""属性设置为""true""。 \n3.  如果不再希望允许自签名证书，请删除后端实体，或将""skipCertificateChainValidation""属性设置为""false""。",api management,https://docs.azure.cn/api-management/api-management-faq
可不可以以编程方式管理 API 管理实例？,可使用以下工具以编程方式管理 API 管理：\n\n*   [API 管理 REST API](https://msdn.microsoft.com/library/azure/dn776326.aspx)。\n*   [Microsoft Azure API 管理服务管理库 SDK](http://aka.ms/apimsdk)。\n*   [服务部署](https://msdn.microsoft.com/library/mt619282.aspx)和[服务管理](https://msdn.microsoft.com/library/mt613507.aspx) PowerShell cmdlet。,api management,https://docs.azure.cn/api-management/api-management-faq
是否可以编程方式管理 API 管理实例？,可使用以下工具以编程方式管理 API 管理：\n\n*   [API 管理 REST API](https://msdn.microsoft.com/library/azure/dn776326.aspx)。\n*   [Microsoft Azure API 管理服务管理库 SDK](http://aka.ms/apimsdk)。\n*   [服务部署](https://msdn.microsoft.com/library/mt619282.aspx)和[服务管理](https://msdn.microsoft.com/library/mt613507.aspx) PowerShell cmdlet。,api management,https://docs.azure.cn/api-management/api-management-faq
能不能以编程方式管理 API 管理实例？,可使用以下工具以编程方式管理 API 管理：\n\n*   [API 管理 REST API](https://msdn.microsoft.com/library/azure/dn776326.aspx)。\n*   [Microsoft Azure API 管理服务管理库 SDK](http://aka.ms/apimsdk)。\n*   [服务部署](https://msdn.microsoft.com/library/mt619282.aspx)和[服务管理](https://msdn.microsoft.com/library/mt613507.aspx) PowerShell cmdlet。,api management,https://docs.azure.cn/api-management/api-management-faq
如何向 Microsoft Azure API 管理团队提问？,可使用以下选项之一联系我们：\n\n*   在 [API 管理 MSDN 论坛](https://social.msdn.microsoft.com/forums/azure/home?forum=azureapimgmt)中发布问题。\n*   向 [apimgmt@microsoft.com](mailto:apimgmt@microsoft.com) 发送电子邮件。\n*   在 [Azure 反馈论坛](https://feedback.azure.com/forums/248703-api-management)中向我们发送功能请求。,api management,https://docs.azure.cn/api-management/api-management-faq
如何联系 Microsoft Azure API 管理团队？,可使用以下选项之一联系我们：\n\n*   在 [API 管理 MSDN 论坛](https://social.msdn.microsoft.com/forums/azure/home?forum=azureapimgmt)中发布问题。\n*   向 [apimgmt@microsoft.com](mailto:apimgmt@microsoft.com) 发送电子邮件。\n*   在 [Azure 反馈论坛](https://feedback.azure.com/forums/248703-api-management)中向我们发送功能请求。,api management,https://docs.azure.cn/api-management/api-management-faq
向多个地理位置进行部署时，API 管理使用何种路由方法？,向多个地理位置进行部署时，API 管理使用[性能流量路由方法](https://docs.azure.cn/traffic-manager/traffic-manager-routing-methods#priority)。 传入流量将路由到最近的 API 网关。 如果一个区域处于脱机状态，则传入流量会自动路由到下一个最近的网关。 在[流量管理器路由方法](https://docs.azure.cn/traffic-manager/traffic-manager-routing-methods)中了解有关路由方法的详细信息。,api management,https://docs.azure.cn/api-management/api-management-faq
API 管理网关 IP 地址是否不变？ 是否可以在防火墙规则中使用它？,在标准层和高级层中，API 管理租户的公共 IP 地址 (VIP) 在租户生存期内是静态的，但有一些例外。 IP 地址在以下情况下更改：\n\n*   服务被删除并重新创建。\n*   服务订阅被[暂停](https://github.com/Azure/azure-resource-manager-rpc/blob/master/v1.0/subscription-lifecycle-api-reference.md#subscription-states)或[警告](https://github.com/Azure/azure-resource-manager-rpc/blob/master/v1.0/subscription-lifecycle-api-reference.md#subscription-states)（例如，由于未付款），然后被恢复。\n*   添加或删除 Azure 虚拟网络（只能在开发人员层和高级层使用虚拟网络）。\n\n对于多区域部署，仅当区域先空出然后恢复时，区域地址会更改（只能在高级层使用多区域部署）。\n\n对于为多区域部署配置的高级层租户，每个区域分配一个公共 IP 地址。\n\n可在 Azure 门户中的租户页面上获取一个 IP 地址（或者在多区域部署中获取多个 IP 地址）。,api management,https://docs.azure.cn/api-management/api-management-faq
为何在尝试克隆 Git 存储库时出现身份验证失败？,"如果使用 Git 凭据管理器，或者正在尝试使用 Visual Studio 克隆 Git 存储库，可能遇到""Windows 凭据""对话框的已知问题。 该对话框将密码长度限制为 127 个字符，并截断 Microsoft 生成的密码。 我们正致力于缩短密码。 目前请使用 Git Bash 克隆 Git 存储库。",api management,https://docs.azure.cn/api-management/api-management-faq
克隆 Git 存储库时显示身份验证失败？,"如果使用 Git 凭据管理器，或者正在尝试使用 Visual Studio 克隆 Git 存储库，可能遇到""Windows 凭据""对话框的已知问题。 该对话框将密码长度限制为 127 个字符，并截断 Microsoft 生成的密码。 我们正致力于缩短密码。 目前请使用 Git Bash 克隆 Git 存储库。",api management,https://docs.azure.cn/api-management/api-management-faq
如何将 API 管理服务实例复制到新实例？,如果要将 API 管理实例复制到新实例，则有多个选项。 可以：\n\n*   使用 API 管理中的备份和还原功能。 有关详细信息，请参阅[如何使用 Azure API 管理中的服务备份和还原实现灾难恢复](https://docs.azure.cn/api-management/api-management-howto-disaster-recovery-backup-restore)。\n*   使用 [API 管理 REST API](https://msdn.microsoft.com/library/azure/dn776326.aspx) 创建自己的备份和还原功能。 使用 REST API 保存和还原所需服务实例中的实体。\n*   使用 Git 下载服务配置，然后将其上传到新实例。 有关详细信息，请参阅[如何使用 Git 保存和配置 API 管理服务](https://docs.azure.cn/api-management/api-management-configuration-repository-git)。,api management,https://docs.azure.cn/api-management/api-management-faq
为什么策略在策略编辑器中不可用?,如果要添加的策略在策略管理器中显示为变暗或有阴影，请确保你处于该策略的正确范围内。 每个策略声明都设计为在特定范围和策略部分中使用。 若要查看策略部分和策略范围，请参阅 [API 管理策略](https://msdn.microsoft.com/library/azure/dn894080.aspx)中的策略的用法部分。,api management,https://docs.azure.cn/api-management/api-management-faq
想要添加的策略为何在策略编辑器中不可用？,如果要添加的策略在策略管理器中显示为变暗或有阴影，请确保你处于该策略的正确范围内。 每个策略声明都设计为在特定范围和策略部分中使用。 若要查看策略部分和策略范围，请参阅 [API 管理策略](https://msdn.microsoft.com/library/azure/dn894080.aspx)中的策略的用法部分。,api management,https://docs.azure.cn/api-management/api-management-faq
是否可将 SOAP 用于 API 管理？,当前已提供 [SOAP 传递](http://blogs.msdn.microsoft.com/apimanagement/2016/10/13/soap-pass-through/)支持。 管理员可以导入其 SOAP 服务的 WSDL，以便 Azure API 管理创建一个 SOAP 前端。 开发人员门户文档、测试控制台、策略和分析都可用于 SOAP 服务。,api management,https://docs.azure.cn/api-management/api-management-faq
能不能将 SOAP 用于 API 管理？,当前已提供 [SOAP 传递](http://blogs.msdn.microsoft.com/apimanagement/2016/10/13/soap-pass-through/)支持。 管理员可以导入其 SOAP 服务的 WSDL，以便 Azure API 管理创建一个 SOAP 前端。 开发人员门户文档、测试控制台、策略和分析都可用于 SOAP 服务。,api management,https://docs.azure.cn/api-management/api-management-faq
功能处于预览状态意味着什么？,当功能处于预览状态时，这意味着我们正在积极寻求关于功能效果如何的反馈。 处于预览状态的功能具备完整功能，但我们可能为了响应客户反馈而进行重大更改。 建议不要在生产环境中依赖处于预览状态的功能。 如果有任何关于预览功能的反馈，请通过[如何向 Microsoft Azure API 管理团队提问？](https://docs.azure.cn/api-management/#how-can-i-ask-the-microsoft-azure-api-management-team-a-question)中的联系选项之一告知我们。,api management,https://docs.azure.cn/api-management/api-management-faq
功能处于预览状态是什么意思？,当功能处于预览状态时，这意味着我们正在积极寻求关于功能效果如何的反馈。 处于预览状态的功能具备完整功能，但我们可能为了响应客户反馈而进行重大更改。 建议不要在生产环境中依赖处于预览状态的功能。 如果有任何关于预览功能的反馈，请通过[如何向 Microsoft Azure API 管理团队提问？](https://docs.azure.cn/api-management/#how-can-i-ask-the-microsoft-azure-api-management-team-a-question)中的联系选项之一告知我们。,api management,https://docs.azure.cn/api-management/api-management-faq
如何确保 API 管理网关和后端服务之间的连接安全？,有多个选项可确保 API 管理网关和后端服务之间的连接安全。 可以：\n\n*   使用 HTTP 基本身份验证。 有关详细信息，请参阅[配置 API 设置](https://docs.azure.cn/api-management/api-management-howto-create-apis#configure-api-settings)。\n*   使用[如何使用 Azure API 管理中的客户端证书身份验证确保后端服务安全](https://docs.azure.cn/api-management/api-management-howto-mutual-certificates)中所述的 SSL 相互身份验证。\n*   在后端服务上使用 IP 允许列表。 如果有标准或高级层 API 管理实例，则网关的 IP 地址保持不变。 可设置允许列表以允许此 IP 地址。 可在 Azure 门户中的仪表板上获取 API 管理实例的 IP 地址。\n*   将 API 管理实例连接到 Azure 虚拟网络。,api management,https://docs.azure.cn/api-management/api-management-faq
是否可以使用 AD FS 安全配置 OAuth 2.0 授权服务器？,若要了解如何使用 Active Directory 联合身份验证服务 (AD FS) 安全配置 OAuth 2.0 授权服务器，请参阅[在 API 管理中使用 ADFS](https://phvbaars.wordpress.com/2016/02/06/using-adfs-in-api-management/)。,api management,https://docs.azure.cn/api-management/api-management-faq
能不能使用 AD FS 安全配置 OAuth 2.0 授权服务器？,若要了解如何使用 Active Directory 联合身份验证服务 (AD FS) 安全配置 OAuth 2.0 授权服务器，请参阅[在 API 管理中使用 ADFS](https://phvbaars.wordpress.com/2016/02/06/using-adfs-in-api-management/)。,api management,https://docs.azure.cn/api-management/api-management-faq
如何在单个 API 中设置多个环境？,若要在单个 API 中设置多个环境（例如，一个测试环境和一个生产环境），则有两个选项。 可以：\n\n*   在同一租户上托管不同的 API。\n*   在不同租户上托管相同的 API。,api management,https://docs.azure.cn/api-management/api-management-faq
怎么在单个 API 中设置多个环境？,若要在单个 API 中设置多个环境（例如，一个测试环境和一个生产环境），则有两个选项。 可以：\n\n*   在同一租户上托管不同的 API。\n*   在不同租户上托管相同的 API。,api management,https://docs.azure.cn/api-management/api-management-faq
在 VNET 中部署 API 管理时所需的最小子网大小是多少？,部署 API 管理所需的最小子网大小为 [/29](https://docs.azure.cn/virtual-network/virtual-networks-faq#configuration)，这是 Azure 支持的最小子网大小。,api management,https://docs.azure.cn/api-management/api-management-faq
Azure 应用服务有哪些不同类型的部署凭据？,Azure 应用服务支持两种类型的凭据，分别适用于本地 GIT 部署和 FTP/S 部署。 有关如何配置部署凭据的详细信息，请参阅[为 Azure 应用服务配置部署凭据](https://docs.azure.cn/app-service/app-service-deployment-credentials),app service,https://docs.azure.cn/app-service/app-service-web-deployment-faq
应用服务 Web 应用中采用怎样的文件或目录结构？,有关 Azure 应用服务应用的文件结构信息，请参阅 [File structure in Azure](https://github.com/projectkudu/kudu/wiki/File-structure-on-azure)（Azure 中的文件结构）。,app service,https://docs.azure.cn/app-service/app-service-web-deployment-faq
Azure 应用程序网关可以使用哪些类型的日志？,Azure 应用程序网关可以使用三种日志。 有关这些日志和其他诊断功能的详细信息，请访问[应用程序网关的后端运行状况、诊断日志和指标](https://docs.azure.cn/application-gateway/application-gateway-diagnostics)。\n\n*   ApplicationGatewayAccessLog：访问日志包含提交到应用程序网关前端的每个请求。 数据包括调用方的 IP、请求的 URL、响应延迟、返回代码，以及传入和传出的字节数。每隔 300 秒会收集一次访问日志。 此日志包含每个应用程序网关实例的一条记录。\n*   ApplicationGatewayPerformanceLog：性能日志捕获每个实例的性能信息，包括提供的请求总数、吞吐量（以字节为单位）、失败的请求计数、正常和不正常的后端实例计数。\n*   ApplicationGatewayFirewallLog：防火墙日志包含通过应用程序网关（配置有 Web 应用程序防火墙）的检测或阻止模式记录的请求。,application gateway,https://docs.azure.cn/application-gateway/application-gateway-faq
什么是应用程序网关？,Azure 应用程序网关是服务形式的应用程序传送控制器 (ADC)，借此为应用程序提供各种第 7 层负载均衡功能。 它提供完全由 Azure 管理的高度可用、可缩放的服务。,application gateway,https://docs.azure.cn/application-gateway/application-gateway-faq
Azure 应用程序网关支持使用多少个身份验证证书进行后端重新加密？,Azure 应用程序网关最多支持 10 个身份验证证书，默认为 5 个。,application gateway,https://docs.azure.cn/application-gateway/application-gateway-faq
自定义探测的 Host 字段是什么意思？,"Host 字段指定要将探测发送到的名称。 仅在应用程序网关上配置了多站点的情况下适用，否则使用""127.0.0.1""。 此值不同于 VM 主机名，它采用 ://: 格式。",application gateway,https://docs.azure.cn/application-gateway/application-gateway-faq
WAF 支持DDoS 防护吗？,WAF 不提供 DDoS 防护。,application gateway,https://docs.azure.cn/application-gateway/application-gateway-faq
问：WAF 是否也支持 DDoS 防护？,WAF 不提供 DDoS 防护。,application gateway,https://docs.azure.cn/application-gateway/application-gateway-faq
WAF SKU 是否提供标准 SKU 所提供的全部功能？,WAF 支持标准 SKU 中的所有功能。,application gateway,https://docs.azure.cn/application-gateway/application-gateway-faq
Web 应用程序防火墙 (WAF) 目前支持哪些规则？,WAF 目前支持 CRS [2.2.9](https://docs.azure.cn/application-gateway/application-gateway-crs-rulegroups-rules#owasp229) 和 CRS [3.0](https://docs.azure.cn/application-gateway/application-gateway-crs-rulegroups-rules#owasp30)，这些规则针对开放 Web 应用程序安全项目 (OWASP) 识别到的 10 大漏洞中的大多数漏洞提供基准安全要求，相关信息请参阅 [OWASP top 10 Vulnerabilities](https://www.owasp.org/index.php/Top10#OWASP_Top_10_for_2013)（OWASP 10 大漏洞）\n\n*   \n\nSQL 注入保护\n\n*   \n\n跨站点脚本保护\n\n*   \n\n常见 Web 攻击保护，例如命令注入、HTTP 请求走私、HTTP 响应拆分和远程文件包含攻击\n\n*   \n\n防止 HTTP 协议违反行为\n\n*   \n\n防止 HTTP 协议异常行为，例如缺少主机用户代理和接受标头\n\n*   \n\n防止自动程序、爬网程序和扫描程序\n\n*   \n\n检测常见应用程序错误配置（即 Apache、IIS 等）,application gateway,https://docs.azure.cn/application-gateway/application-gateway-faq
