Category,Question,Answer,Source
一般问题,哪里可以找到新功能的详细信息？,您可以浏览下列页面：*   [最新公告](/what-is-new/)*   [认识 Azure](/home/features/what-is-azure/)*   [定价详情 ](/pricing/overview/),https://www.azure.cn/support/faq/
一般问题,世纪互联将如何使用我存储在 Azure 中的信息？,世纪互联仅将您存储在 Azure 中的客户数据用于为您提供 Azure 服务。这些服务可能包括为防止、检测或修复影响 Azure 运行的问题而进行故障排除 ，以及改进涉及检测和抵御用户受到的新兴且不断演变的威胁（如恶意软件或垃圾邮件）的功能。如果您想了解更多我们对您的数据所做的承诺，请访问 Azure 信任中心的[隐私](//www.trustcenter.cn/zh-cn/privacy/)及[常见问题](//www.trustcenter.cn/zh-cn/resources/FAQ.html)页面。,https://www.azure.cn/support/faq/
一般问题,什么是 StorSimple？,StorSimple 是一个混合云存储的解决方案，为 IT 部门提供了一种管理飞速增长的数据、在保护数据的同时简化内部环境存储基础结构的新方法。该方案包含一套部署在企业内部环境中的存储设备，并与由世纪互联运营的 Microsoft Azure 服务相集成，可为您提供分层式存储。StorSimple 为客户提供了下列核心功能：*   使用 5000，以及 7000 系列装置提供混合云存储*   能与现有应用程序的存储轻松集成的 ISCSI 卷访问*   通过自动数据分层在本地保存活跃数据，提供更高性能，将不常用的冷数据分层存储至云端*   数据去重与压缩*   云端存储的数据可使用 AES-256 位加密技术进行安全性保护*   针对数据保护和灾难恢复提供本地和云快照功能详细信息请访问 [StorSimple 混合云解决方案](/solutions/StorSimple/) 。,https://www.azure.cn/support/faq/
一般问题,我还想要更深入地了解 Azure，除了入门指南，有没有更进一步的学习资料？,您可以浏览[文档中心](https://docs.azure.cn/)。这个页面包含链接到以下内容：*   开发人员中心：.NET，Node.js，Java，Python*   各种服务详细内容：计算， 数据服务， 应用服务， 网络*   多种资源：架构结构，参考文档，有关如何有效使用，性能，疑难解答方面的建议等等。在 Azure 论坛中发布问题和搜索问题。,https://www.azure.cn/support/faq/
注册问题,什么是 1 元试用订阅？," 这是由世纪互联运营的 Microsoft Azure 所推出的试用优惠活动，您可通过在线方式注册并付款 1 元人民币，激活您的 1 元试用订阅，获取高达 1,500 元 Azure 服务使用额度，有效期一个月。 *   [1 元试用优惠详情](/offers/ms-mc-azr-44p/)*   [立即申请试用](/pricing/1rmb-trial-full/?form-type=identityauth/)*   [试用注册流程](/pricing/billing/azure-1rmb-trial-application-and-signup/)",https://www.azure.cn/support/faq/
注册问题,什么是标准预付费订阅？有什么特点？," 标准预付费订阅需要通过预付费方式进行购买。按照用户的实际使用量扣减余额，不支持超额使用，当余额为 0 时服务将被即刻停用，需要充值才能继续使用。标准预付费订阅采用线上支付最低预付充值金额为 1,000 元，采用电汇支付最低预付金额为 5,000 元，有效期为单次充值后 12 个月 。 *   [标准预付产品详情](/offers/ms-mc-arz-33p/)*   [我要购买](/pricing/pia-waiting-list/?form-type=identityauth/)*   [标准预付费订阅注册流程](/pricing/billing/azure-pia-application-and-signup/)",https://www.azure.cn/support/faq/
注册问题,1 元试用订阅是否可以重复注册？,每位用户仅能申请并获得一次 1 元试用，不得重复注册申请。如果您需要多个订阅，或者已经使用过 1 元试用订阅，请使用,https://www.azure.cn/support/faq/
注册问题,注册 1 元试用发现手机验证出现问题怎么办？,每位用户仅能申请并获得一次 1 元试用，如果您的手机号之前已经通过本项活动申请的验证，便无法再次申请。如果您需要多个订阅，或者已经试用过 1 元试用订阅，欢迎参考使用,https://www.azure.cn/support/faq/
注册问题,我一定要提供身份证资料才能完成注册吗？,是的，为了遵守相关法律法规要求，保证每位订阅用户的账户安全，需要每位注册用户提供个人身份信息进行实名制认证，以便取得安全的 Azure 服务。,https://www.azure.cn/support/faq/
注册问题,朋友把 1 元试用的激活码转赠给我，可以使用吗？,不可以。本项试用优惠活动一人可以享有一次机会，请自行上线申请获取专属的激活码。立即[申请试用](/pricing/1rmb-trial-full/?form-type=identityauth),https://www.azure.cn/support/faq/
注册问题,什么是 OrgID？它跟试用订阅与标准预付费订阅有什么关系？,"OrgID 是由世纪互联运营的微软智能云服务的特定用户名系统，用来管理 Azure 订阅。OrgID 由 @""domain name"".partner.onmschina.cn 组成。账户由 ""new user ID""@""domain name"".partner.onmschina.cn 组成，用户需要使用账户名、密码进行登陆。比如，您选择同您公司名称类似的字母 ABC 作为 ""domain name""，选择 XYZ 作为 ""new user ID""，您的 OrgID 为 @ABC.partner.onmschina.cn，您的账户为 XYZ@ABC.partner.onmschina.cn。",https://www.azure.cn/support/faq/
注册问题,我有 Office 365 的账户，可以用这个账户资料进行 Azure 订阅的注册吗？,"每个账户下只能创建一个同类型订阅，如果您的 Office 365 账户下没有其他订阅可以按照以下步骤完成注册：*   打开[账户管理界面](//account.windowsazure.cn/subscriptions)*   使用您的账户名登陆*   登陆后看到""看来您还未创建任何订阅""提示 （如果页面上没有看到该提示，则说明账户下已经有其他订阅）*   在同一个浏览器打开[新的页面](/zh-cn/pricing/enter-promo-code-form/)*   输入您的激活码，并点击""提交""*   弹出新的页面，输入付款信息，完成之后的步骤，就可以成功激活订阅。",https://www.azure.cn/support/faq/
注册问题,创建账户后没有完成全部注册流程（没有完成付款），请问如何回到注册页面继续在之前的账户下完成注册？,"每个账户下只能创建一个同类型订阅，如果您的账户下没有其他订阅可以按照以下步骤完成注册：*   1元试用优惠详情 -[ http://www.azure.cn/offers/ms-mc-azr-44p/ ](/offers/ms-mc-azr-44p/)*   *   打开[账户管理界面](//account.windowsazure.cn/subscriptions)。    *   使用您的账户名登陆。    *   登陆后看到""看来您还未创建任何订阅""提示 （如果页面上没有看到该提示，则说明账户下已经有其他订阅）    *   在同一个浏览器打开[新的页面](/zh-cn/pricing/enter-promo-code-form/)    *   输入您的激活码，并点击""提交""    *   弹出新的页面，输入付款信息，完成之后的步骤，就可以成功激活订阅。",https://www.azure.cn/support/faq/
注册问题,"注册 1 元试用订阅时，页面提示"" 1 元试用不可用，仅为 Promo 成员提供此产品 / 服务""是为什么？",此提示说明您已经使用过 1 元试用订阅。由于每位用户仅能申请并获得一次 1 元试用，不得重复注册申请。如果您需要多个订阅，请使用,https://www.azure.cn/support/faq/
注册问题,在线提交 Azure 1 元试用申请或标准预付费订阅申请后，多久能审核完毕？审核通过后如何通知我？,若您申请的是个人账户，在线提交 Azure 1 元试用或标准预付费订阅的申请后，您会立刻获得申请结果反馈，并引导您继续完成注册流程；若您申请的是企业账户，在线提交 Azure 1 元试用或标准预付费订阅的申请后，我们将在一个工作日内以邮件形式回复审查结果，并引导您继续完成注册流程；当注册过程因故中断，您可再次进入申请页面直接输入申请时使用的手机号码、或者通过点击激活码邮件中的激活链接，即可继续完成注册。,https://www.azure.cn/support/faq/
注册问题,当我用移动设备（手机 / 平板电脑）申请 1 元试用时，为什么无法加载支付信息或者提示未收到支付信息？,当此类问题出现时，建议您先打开或允许浏览器的 Cookie 选项，再接续中断前的操作进行后续流程。操作步骤会根据移动设备和浏览器的不同而异。以 iOS 设备为例，您可以参照：【进入设置】→【Safari】→【阻止Cookie】→【总是允许】进行操作。,https://www.azure.cn/support/faq/
注册问题,申请 1 元试用时，为何我的付费订阅显示成功付款，但是返回 Azure 注册页面时依然告诉我付款失败？,本项试用优惠活动一人得享有一次，所以一个付费账户（包括银联及支付宝账户）只能用于申请一次 1 元试用，如果您使用的付费账户之前有成功申请 1 元试用订阅，当再次申请并支付 1 元时，就会出现上述问题，即：在付费订阅页面，显示成功付款，但 Azure 注册页面显示付款失败。针对以上状况所发生的 1 元交易，退款系统会自动退回该付费账户，具体退款时间将因各家银行和银行卡的作业有所不同。如果您需要多个订阅，或者已经试用过 1 元试用订阅，欢迎参考使用,https://www.azure.cn/support/faq/
注册问题,1 元试用订阅的一个月有效期从什么时候开始？,有效期从付费成功开始，有效期为一个月。,https://www.azure.cn/support/faq/
注册问题,在使用 1 元试用的一个月有效期内，是否可以转换为标准预付费订阅？如何转换？,"在使用 1 元试用的有效期内，您可以随时转换为标准预付费订阅。您只需在订阅界面点击""立即升级""，充值至少人民币 1,000 元到您的帐户即可成为[标准预付费订阅](/offers/ms-mc-arz-33p/)，享受更丰富的云体验。",https://www.azure.cn/support/faq/
注册问题,我应该如何监控剩余额度及有效期，以避免服务停止造成的不便？,在使用由世纪互联运营的 Microsoft Azure 服务期间，您预留的联系人邮箱将每周收到剩余金额及有效期的提醒邮件。您也可以随时登陆账户管理界面查看剩余金额及有效期，建议您根据实际使用量进行评估，预留充足的余额。登入[账户管理界面](//account.windowsazure.cn/subscriptions),https://www.azure.cn/support/faq/
注册问题,是否支持电汇支付方式？如何具体操作？,电汇详情及操作方式，可参考[电汇说明](https://www.azure.cn/pricing/billing/azure-wire-transfer-overview),https://www.azure.cn/support/faq/
注册问题,当我选择电汇方式支付 Azure 订阅账户时，是否可以选择外币进行汇款？,Azure 在中国的服务仅接受人民币为唯一支付币种，不接受其他币种进行支付。,https://www.azure.cn/support/faq/
计费、订阅和发票,"什么是""订阅""？",订阅是 Azure 一个重要的概念。以大家都熟悉的双卡双待的手机为例，客户购买了中国移动和中国联通的 SIM卡 (后付费)，就可以通过中国移动或者中国联通的 SIM 卡，进行通话、发短信，或者上网浏览。到每个月底的时候，中国移动和中国联通会分别快递两张手机账单：*   中国移动的手机账单会告诉用户，这个月的分类费用，包括通话时间为多少分钟，短信发送了多少条，上网浏览用了多少流量。同时也会显示总体费用是多少。*   中国联通的手机账号也会告诉用户，这个月话费的详细账单和总费用。在 Azure 中，订阅就好比一张 SIM 卡。比如用户可以创建 ABC，XYZ 两个不同的订阅，并且可以在这2个不同的订阅中，创建和使用 Azure 服务，比如：虚拟机，存储，SQL Database 等等。到月底的时候，Azure 系统会产生一张详细的使用清单：*   告诉用户 ABC 订阅中，虚拟机的总费用是多少，存储的总费用是多少，SQL Database 的总费用是多少。*   同时也会显示 XYZ 订阅中，产生的费用的详细信息。*   最后会显示所有订阅的总体费用是多少。注意：只有在线服务高级协议及在线服务标准协议用户可以创建无数个订阅。其他用户如测试用户等只能创建和使用一个订阅。,https://www.azure.cn/support/faq/
计费、订阅和发票,账户和订阅的关系是什么？,在 Azure 中，账户和订阅的关系是多对多的。假设有2个订阅 ABC 和 XYZ，账户管理员可以创建若干个账户，对应关系如下：序号订阅账户1ABCxiaozhang@contoso.partner.onmschina.cn2XYZmike@contoso.partner.onmschina.cn3XYZtom@contoso.partner.onmschina.cn4XYZxiaozhang@contoso.partner.onmschina.cn 上表中，Mike 和 Tom 可以使用的订阅只有一个，他们可以使用订阅 XYZ，来使用 Azure 云服务。xiaozhang 的账户不同，他可以使用2个订阅( ABC 和 XYZ )。xiaozhang 可以使用这2个不同的订阅，来使用 Azure 云服务。对于企业级客户来说，账户和订阅可以方便进行内部成本核算。比如 Contoso 集团公司，在国内三个城市，北京、上海和杭州都拥有软件研发基地。为了使用 Azure China 云平台来提高服务水平，Contoso 集团只需要和世纪互联签署一份 Azure 商务合同，创建一个 Org ID: Consoto。同时账户管理员可以创建三个订阅和三个账户。对应关系如下：序号订阅账户1AAAbeijing@contoso.partner.onmschina.cn2BBBshanghai@contoso.partner.onmschina.cn3CCChangzhou@contoso.partner.onmschina.cn这样北京、上海和杭州的用户可以使用上面三个不同的账户，进行各自的软件研发和部署。同时，Contoso 集团总部在月底会收到世纪互联发送的 Azure 账单，里面显示了三个不同的订阅（AAA，BBB，CCC）分别产生的费用是多少，以及 Azure 总的费用是多少。根据账单的信息，Contoso 集团可以根据 Azure 提供的账单，对三个研发基地进行内部成本核算。 请注意：订阅和订阅之间的信息是互相隔离的，也就是说，订阅 AAA 的账户看不到订阅 BBB 创建的虚拟机，存储，SQL Database 等。同样的，订阅 BBB 账户也看不到订阅 CCC 账户创建的虚拟机，存储，SQL Database 等。这样可以保证服务的隔离，不会因为误操作而互相影响。 ,https://www.azure.cn/support/faq/
计费、订阅和发票,若因银行限制无法备注完整的订阅 ID，应该怎么办？,"1. 若因银行限制无法备注完整的订阅 ID，请直接填写以下汇款信息发送到 [azure_invoice@oe.21vianet.com](mailto:azure_invoice@oe.21vianet.com)，以便我们区分汇款来源并及时充值到您的订阅。2. 订阅 ID (您可登录[订阅管理门户](https://account.windowsazure.cn/subscriptions), 点击订阅名称，页面右侧会显示""订阅 ID"" )：3. 汇款金额：4. 汇款日期：5. 汇款银行账号：6. 汇款人姓名（汇款底单上的汇款人）：7. 公司名称：8. 联系人手机：",https://www.azure.cn/support/faq/
执行与维护,维护时段期间，单个 IaaS 虚拟机或 PaaS 角色实例要保持多长时间的脱机状态？,回答：单个 IaaS 虚拟机或 PaaS 角色实例的脱机状态将持续约 30-45 分钟。,https://www.azure.cn/support/faq/
执行与维护,如果我的虚拟机受影响时间相对较短，我能否在 12 小时中定义更精确的时间点，以便我的 VM 继续运行？,回答：不能。客户无法定义其 VM 在维护时段期间何时脱机。,https://www.azure.cn/support/faq/
执行与维护,我能否选择让我的虚拟机退出此维护？,回答：不能。客户不可选择退出此维护。,https://www.azure.cn/support/faq/
执行与维护,我应当采取何种措施来降低此维护对我的运行中应用程序造成的影响和风险？,回答：我们建议您使用架构中的[可用性集](https://docs.azure.cn/virtual-machines/virtual-machines-linux-manage-availability)，以防止预先计划的维护引起停机。在可用性集中，对于云服务和虚拟机，此维护一次只更新一个故障域 ( FD ) 中的实例。同时，我们也鼓励客户针对可用性集与微软联系人（销售现场人员、技术支持客户经理等）协作。有关详细信息，请访问[管理虚拟机的可用性](https://docs.azure.cn/virtual-machines/virtual-machines-linux-manage-availability)网页。,https://www.azure.cn/support/faq/
执行与维护,为何无法从本地 Ping 通 Azure VM 的 VIP IP 地址和端口？,通过 VIP 地址访问虚拟机时网络通讯需要通过 Azure Load Balancer。 Azure Load Balancer 目前不开放 ICMP 协议。Ping 属于 ICMP 协议组，因此无法通过 Load Balancer。 客户需要通过 VIP 检验虚拟机连接性的时候，可以通过 TCP 协议相关工具，如 Window 操作系统使用 PSping， Linux 操作系统可以使用 TCPping。 在虚拟网内部，虚拟机开放防火墙相应端口的情况下，虚拟机之间可以互相 Ping 通。,https://www.azure.cn/support/faq/
执行与维护,我是否可以在 Azure Virtual Machine 中再创建虚拟机呢？,Azure 数据中心是由成千上万台 RACK 组成的，每个 RACK 都安装了 Windows Server 2012 的操作系统，我们称为 Host OS，即物理服务器的操作系统。 这些 Windows Server 2012采用特殊版本的 Hyper-V 虚拟化技术，虚拟出了若干虚拟机，称为 Guest OS。Host OS 内含一个 Fabric Agent 中控软件，以监控目前虚拟机各项信息给 Fabric Controller。Azure 的最终用户只能接触到 Guest OS，而无法接触到 Host OS。用户无法在 Guest OS 中再创建虚拟机。,https://www.azure.cn/support/faq/
执行与维护,我可以在 Azure 选择 Oracle 虚拟机吗？,"基于 Windows 平台的 Oracle 软件镜像将会很快发布，用户可以选择""包含授权""的镜像，Oracle 授权不单独收费，由 Azure 统一计费。21V 提供 Azure 平台的 Oracle 服务，但是这会额外增加客户成本。",https://www.azure.cn/support/faq/
执行与维护,我可以在 Azure 创建 Windows Server 2003 的虚拟机吗？,"官方支持的 Windows Server 虚拟机模板为：*   Windows Server 2008 R2*   Windows Server 2012, Windows Server 2012 R2客户可以自己在本地使用 Hyper-V 创建 Server 2003 的虚拟机模板至 Azure 云端，但是如果这个虚拟机出现问题，就没有办法获得微软官方的支持。",https://www.azure.cn/support/faq/
执行与维护,"微软的 Exchange, Lync, SharePoint 支持部署在Azure 云端吗？","SharePoint 虚拟机模板是可以在 Azure 虚拟机模板上选择的，可以得到微软的官方支持。Exchange Server, Lync Server 用户可以自定义上传，但是无法获得微软官方的支持。",https://www.azure.cn/support/faq/
执行与维护,负载均衡的机制是什么？,"Azure 为 Web 应用、云服务和虚拟机都提供了免费的负载均衡能力。关于负载均衡我们需要注意的一点就是它对 Session 的处理。一般来说，传统的负载均衡器有一种叫 Session 粘滞(Sticky)的机制，也就是会根据用户的 Session 信息将用户请求转发到固定的一台机器上，这样，如果应用程序在服务器端存储 Session 信息，那么用户与服务器交互就会顺畅，否则，就会发生用户 Session 丢失和应用逻辑异常。在 Azure 上，云服务和虚拟机的负载均衡器都是纯网络层面的，其均衡机制是轮流将请求发给后端的服务器，不支持 Session 粘滞. 这就要求后台服务器是无状态的，也就是无论将客户请求发给任何一个服务器，都可以得到正确的处理。如果现有的应用是有状态的，那么有两种解决办法：1.   将 Session 信息在所有服务器间共享。具体实现方式包括：分布式缓存（比如 Memcache，Azure Caching ), Session 持久化（.NET 和 Java都支持用数据库存储 Session 信息，而 Azure 还支持用 Cache 和 Azure 存储持久化 .NET Session 信息:[http://blogs.msdn.com/b/cie/archive/2013/05/17/session-state-management-in-windows-azure-web-roles.aspx](http://blogs.msdn.com/b/cie/archive/2013/05/17/session-state-management-in-windows-azure-web-roles.aspx)） 2.   在虚拟机上自行配置负载均衡集群，比如 Squid ( Linux ), IIS ARR ( Windows )。微软的 MSOpenTech 团队提供了一个自动配置 IIS ARR 的方法：[https://github.com/MSOpenTech/WindowsAzureToolkitForEclipseWithJava/tree/master/Utils/ARRConfigurationAgent](//github.com/MSOpenTech/WindowsAzureToolkitForEclipseWithJava/tree/master/Utils/ARRConfigurationAgent)。它原本是为了配置云服务里面的 Java 集群的，也可以用来配置其他 IIS 集群Web 应用的负载均衡稍有不同，它的负载均衡是由 IIS ARR 实现的，因此它原生支持 Session 粘滞。其实现原理是，在每个响应里面添加 ARRAffinity 这个 Cookie，这样，下次同一个用户的请求就会被识别，然后发送到上次的服务器上。也就是说，不论应用是否主动写入 Cookie 或是存取 Session，IIS 都会为每个用户保持服务器的绑定关系。",https://www.azure.cn/support/faq/
