question,answer,category,source
What kind of roles does Microsoft play in Microsoft Azure operated by 21Vianet?,"Microsoft Azure in China is a public cloud platform that is operated and sold independently by 21Vianet on the Chinese mainland. Based on Microsoft's decades of rich online service experience in global enterprise customers, Azure, a world-class technology, has been developed to fully serve China's customers, so as to provide a consistent service quality guarantee for our customers all over the world.",1 General inquiries,https://www.azure.cn/en-us/support/faq#q-1-11
Where can I find details on the new features?,"You can find the details of the new features through the <a href=""/what-is-new/"">Latest Announcements</a>.",1 General inquiries,https://www.azure.cn/en-us/support/faq#q-1-12
How will 21Vianet use the information I stored in Azure?,"21Vianet will only use your customer data stored in Azure to provide you with Azure services. These services may include the troubleshooting for preventing, detecting, or fixing issues that affect the operation of Azure and the improvement of features that detect and resist emerging and evolving threats to users (such as malicious software and junk mail).

As per 21Vianet policy, in addition to providing you with cloud productivity services, we will never mine or use your customer’s data for advertising purposes. If you want to know more about our promise regarding your data, please go to the <a href=""//www.trustcenter.cn/zh-cn/privacy/"">Privacy </a>and <a href=""//www.trustcenter.cn/zh-cn/resources/FAQ.html"">FAQ</a> pages in the Azure Trust Center.",1 General inquiries,https://www.azure.cn/en-us/support/faq#q-1-13
"I want to learn more about Azure. In addition to the Starter Guide, do you have any further study materials?","You can browse the <a href=""//docs.azure.cn/"">Documentation Center</a>.

This page contains links and the following content:

Publish and search questions in the <a href=""//social.msdn.microsoft.com/Forums/zh-CN/home?forum=windowsazurezhchs"">Azure Forum</a>.

Browse the <a href=""//school.azure.cn/"">Azure School</a> for related Azure courses and expert columns.",1 General inquiries,https://www.azure.cn/en-us/support/faq#q-1-14
What is the 1RMB Trial subscription?,"This is a promotional activity launched by the Microsoft Azure and operated by 21Vianet. You can sign up online and pay ￥ 1 to activate your 1RMB Trial subscription and get ￥ 1,500 in Azure service credits that are valid for one month.",Registration Questions,https://www.azure.cn/en-us/support/faq#q-2-1
What is the standard Pay-in-Advance (PIA) subscription? What are the characteristics of such subscription?,"Standard Pay-in-Advance (PIA) subscription needs to be purchased by Pay-in-Advance. The balance will be deducted according to the actual usage of the user, and overuse is not supported. When the balance is 0, the service will be stopped immediately, and recharge is required to continue using. The minimum prepayment amount of standard Pay-in-Advance (PIA) subscription is ￥ 1,000 with online payment, and ￥ 5,000 with Wire Transfer, which is valid for 12 months after each recharge.",Registration Questions,https://www.azure.cn/en-us/support/faq#q-2-2
Can I apply and sign up for more than one 1RMB Trial Subscription?,"No. In order to allow more customers to experience Azure services, each new customer has only one opportunity to enjoy this promotion, and only one purchase can be made for the same identification card and the same paid account.

If you need more than one subscription, or your 1RMB Trial subscription has expired, please use the <a href=""/offers/ms-mc-arz-33p/"">Standard Pay-in-Advance PIA subscription</a>.",Registration Questions,https://www.azure.cn/en-us/support/faq#q-2-3
What should I do when a phone validation problem is met while signing up for the 1RMB Trial?,"If you have applied for the 1RMB Trial subscription with your mobile phone number and passed verification via the mobile phone, and you did not complete the entire sign up process before quitting, then you may not be able to apply again with the same phone number. If you encounter such problems, try using another mobile phone number to revalidate, or you can contact the <a href=""/support/contact/"">21Vianet support team</a> for help.",Registration Questions,https://www.azure.cn/en-us/support/faq#q-2-4
Do I have to provide identification card information to complete the registration?,"Yes, in order to comply with the requirements of relevant laws and regulations and ensure the safety of each subscriber’s account, each registered user needs to provide personal identity information for real-name system certification, so as to obtain secure Azure service.",Registration Questions,https://www.azure.cn/en-us/support/faq#q-2-5
"What is Organization, OrganizationID and Account?","An enterprise can also sign up multiple organizations in Azure AD, e.g. different departments are registered as different organizations.

Multiple enterprises can also jointly sign up in Azure AD as an organization for a collaborative project.

Currently, the domain available for sign up is *.partner.onmschina.cn. The * represents the user’s registered name, which is the unique identifier of the organization registered in Azure AD by the user.

If the customer’s registered organization domain name is contoso.partner.onmschina.cn, you can create an account for ABC in the organization: ABC@contoso.partner.onmschina.cn.",Registration Questions,https://www.azure.cn/en-us/support/faq#q-2-6
 I have an Office 365 account. Can I use the account information for Azure subscription registration?,"Yes. If you have already bought Office 365 products and want to use the same account to manage Office 365 and Azure services at the same time, please refer to <a href=""https://docs.azure.cn/zh-cn/billing/billing-use-existing-office-365-account-azure-subscription"">purchasing an Azure subscription via an Office 365 account</a>.",Registration Questions,https://www.azure.cn/en-us/support/faq#q-2-7
"After creating the account, if the whole signup process is not completed, how can I get back to the previous account and continue sign up?","You may sign into <a href=""//portal.azure.cn/"">Azure portal</a> or <a href=""//account.windowsazure.cn/"">Azure account center</a> with the account you created earlier, and you may see either of two prompts:

1. When you see the yellow bar reminder that “Your XXXX is waiting for payment”, select the yellow Pay for the Suspended Subscription bar below to continue to pay

Note: Using the UnionPay Online payment, after the order is submitted, the payment should be completed within 15 minutes. If the payment time is over 15 minutes, the payment may not be successfully done and the order should be resubmitted.

2. If you see the message that “No subscription has been found” or “It appears that you haven't created a subscription,”

you can refer to <a href=""//docs.azure.cn/zh-cn/articles/azure-operations-guide/commerce/billing/aog-billing-no-subscription-found"">tips for “No subscription has been found” in the Azure portal or the Azure Account Center</a> for help.",Registration Questions,https://www.azure.cn/en-us/support/faq#q-2-8
"When signing up for an Azure account, why do I see Sorry! The 1RMB Trial subscription/Standard Pay-in-Advance PIA service is not available. You are not eligible for this specific Promo product/service?","This prompt indicates that the activation code of your registered Azure account is expired and needs to be re-applied. Please refer to the <a id=""support_faq_promo"" href=""//docs.azure.cn/zh-cn/billing/billing-sign-up-azure-account-with-1rmb-trial-subscription"">1RMB Trial subscription signup</a> for the specific application process.",Registration Questions,https://www.azure.cn/en-us/support/faq#q-2-9
"When an Azure account is registered, the payment information cannot be loaded or the payment information is not received during the payment stage.","If this problem occurs, the possible reason is that your browser does not support third-party Cookies, and you can refer to “<a href=""//docs.azure.cn/zh-cn/articles/azure-operations-guide/commerce/billing/aog-billing-sign-in-issues-faq"">Azure online sign up FAQ</a>” for more help.",Registration Questions,https://www.azure.cn/en-us/support/faq#q-2-10
"When applying for the 1RMB Trial subscription, why is there a message showing that payment was successful, but when I return to the Azure registration page, I still see a payment failure message?","Each new customer can only enjoy this trial offer once, so one paid account (including UnionPay and Alipay accounts) can only be used to apply for the 1RMB Trial once. If you use a payment account that has successfully applied for the trial subscription to apply again and pay ￥ 1, the aforementioned problem will occur, namely: the subscription page shows that payment is complete, but the Azure sign up page shows that payment has failed.

The refund system will automatically return the money to the paid account for the ￥ 1 transaction. The specific refund time will be different due to the different operations of each bank and bank card.

If you need more than one subscription, or have tried the 1RMB Trial subscription, please refer to the <a href=""//www.azure.cn/offers/ms-mc-arz-33p/"">Standard Pay-in-Advance PIA Subscription</a>.",Registration Questions,https://www.azure.cn/en-us/support/faq#q-2-11
When does the one-month validity of the 1RMB Trial subscription start?,Validity starts from successful payment and lasts one month.,Registration Questions,https://www.azure.cn/en-us/support/faq#q-2-12
"In the one-month validity period of the 1RMB Trial subscription, can the subscription be converted into a standard Pay-in-Advance subscription? How do I do this?","Yes. You can upgrade the subscription to the Standard Pay-in-Advance PIA subscription at any time during the validity of the 1RMB Trial. You can click ""Upgrade now"" at the <a href=""//account.windowsazure.cn/subscriptions"">Azure Account Center</a> and recharge at least ￥ 1,000 to your account to turn it into a Standard Pay-in-Advance PIA subscription. Please refer to <a href=""//docs.azure.cn/zh-cn/billing/billing-upgrade-1rmb-trial"">1RMB Trial subscription upgrade detailed procedures</a>.",Registration Questions,https://www.azure.cn/en-us/support/faq#q-2-13
" How should I monitor the balance and the period of validity, in order to avoid any inconvenience caused by the cease of service?","During the service period for Microsoft Azure operated by 21Vianet, you will receive a reminder email of the balance and expiration in your contact email every week. You can also sign into the <a href=""//account.windowsazure.cn/subscriptions"">Azure account center</a> to check the balance and the validity at any time. It is recommended that you make an assessment based on the actual usage and reserve a sufficient balance.",Registration Questions,https://www.azure.cn/en-us/support/faq#q-2-14
Is payment by wire transfer supported? What should I do?,"Not supported. The 1RMB Trial subscription only supports Alipay and UnionPay online payment methods.

Supported. The Standard Pay-in-Advance PIA subscription supports three payment methods, i.e. Alipay, UnionPay and online payment and wire transfer. The minimum payment amount of the first two online payment methods is ¥ 1,000, the lowest payment amount of wire transfer is ¥ 5,000. Please refer to the <a href=""//docs.azure.cn/zh-cn/billing/billing-pay-for-subscription-via-wire-transfer/"">wire transfer instructions</a> for detailed wire transfer operations.",Registration Questions,https://www.azure.cn/en-us/support/faq#q-2-15
Can I use foreign currency for remittance when I choose to pay by wire transfer for my Azure subscription account?,Only the Chinese ￥  is accepted as the payment currency for Azure's service in China.,Registration Questions,https://www.azure.cn/en-us/support/faq#q-2-16
What should I do if I cannot complete the full subscription ID due to the bank’s limits?,"You can send the following remittance information to azure_invoice@oe.21vianet.com, so that we can distinguish the remittance sources and recharge your subscription in a timely manner.","Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-1
"How can I upgrade the 1RMB Trial to a Standard Pay-in-Advance PIA subscription, or recharge a Standard Pay-in-Advance PIA subscription?","The Standard Pay-in-Advance PIA subscription supports three payment methods, i.e. Alipay, UnionPay and Online Payment and wire transfer, and each payment method has the minimum recharge amount. If you select ""Alipay"" or ""UnionPay Online"" and other methods of online remittance, after clicking on ""Upgrade"" or ""Recharge"", enter the recharge amount according to the prompt (the minimum amount is ￥ 1,000, and the maximum amount is ￥ 150,000), and then click on the check mark. The payment page will appear and you should follow the instructions to complete the payment. If you select wire transfer, the minimum recharge amount should be ￥ 5,000. Please refer to <a href=""//docs.azure.cn/zh-cn/billing/billing-recharge-an-existing-pia-subscription"" id=""support_faq_subscriptions-wire-transfer_billing-recharge-an-existing-pia-subscription"">recharging Standard Pay-in-Advance PIA subscriptions</a> for details.

Note: Microsoft Azure services currently operated by 21Vianet only accepts payments in ￥ .","Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-2
How to download and analyze the monthly usage report?,"Users purchasing online (including 1RMB Trials and Standard Pay-in-Advance PIA subscriptions)

The usage report can be obtained via the platform, including the monthly consumption summary, billing amount and daily consumption of each service. This operation is restricted to the account managers who purchase subscriptions online. For detailed steps, please refer to <a href=""//docs.azure.cn/zh-cn/billing/billing-get-usage-information"" id=""support_faq_subscriptions-wire-transfer_billing-get-usage-information"">Downloading monthly usage reports for online purchasers</a>.

The monthly usage report is presented in Excel format, which consists of three parts:

* Subscription and account validity information

* Monthly service usage and billing information

* Daily service usage

Refer to <a href=""//docs.azure.cn/zh-cn/billing/billing-understand-your-usage"" id=""support_faq_subscriptions-wire-transfer_billing-understand-your-usage"">Understanding monthly usage reports</a> for details.

Enterprise Agreement User

You can sign into the<a href=""https://ea.azure.cn/"" id=""support_faq_subscriptions-wire-transfer_ea-azure-protal""> Enterprise Portal</a> to view the historic usage and current remaining amount in the contract. The usage in the system can be delayed for up to 5 days, and you can see the details by date through the Download Usage feature.

The <a href=""https://ea.azure.cn/"" id=""support_faq_subscriptions-wire-transfer_ea-azure-protal1"">Enterprise Portal</a> provides customers with three viewing methods: monthly report downloading, Premium report downloading and API access key. The monthly report and advanced report provide the service content, service amount and the corresponding billing amount consumed in each department, account and subscription every day up to the date of the report. Please refer to <a href=""https://docs.azure.cn/zh-cn/billing/billing-get-ea-usage-info"" id=""support_faq_subscriptions-wire-transfer_billing-get-ea-usage-info"">Downloading usage reports for Enterprise Agreement users</a> for details.

The monthly usage report is presented in CSV format, which provides each account and the corresponding usage information every day, including usage and the corresponding costs. Please refer to <a href=""https://docs.azure.cn/zh-cn/billing/billing-understand-ea-usage-report"" id=""support_faq_subscriptions-wire-transfer_billing-understand-ea-usage-report"">Understanding Monthly Usage Reports</a> for details.

In order to help you better use Azure and boost your cloud business, Azure provides you with informative training tutorials. You can refer to the Standard Pay-in-Advance PIA billing portal training at the <a href=""https://www.azure.cn/video-center/"" id=""support_faq_subscriptions-wire-transfer_video-center"">Azure Video Center</a> to understand the specific operations for creating pivot tables through bills.","Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-3
How are the remaining days and remaining credits viewed?,,"Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-4
Under what circumstances will my subscription be suspended? How can I reactivate it?,"When the remaining usage of your subscription is 0 or when the usage credits expire, your subscription will be disabled. You need to recharge it within 15 days and upgrade the subscription to the Standard Pay-in-Advance PIA subscription, and then you may continue to use this subscription.

When the remaining usage of your subscription is 0 or when the usage is expired, your subscription will be disabled. You need to recharge it within 90 days to resume this subscription.

* When the excessive amount or annual order is not paid, your subscription will be disabled. After you finish the payment, the business team will help you manually restart the contract and subscription.

* When your subscription is unexpectedly canceled by the account owner, you need to contact the <a href=""/support/contact/"">21Vianet support staff</a> to help you manually restart it.

If the subscription is disabled for other reasons, please contact the <a href=""/support/contact/"">21Vianet support team</a> for help.","Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-5
What will happen to me after my subscription is disabled? Will my data be preserved? Can I take out the data in my subscription?,"When your subscription is disabled, the resource services deployed in the subscription will be disabled and the resources in temporary storage will be released. You can still sign into the portal to view the resources, but you can't edit them.

The data in your subscription will be preserved, but at the time, the data cannot be backed up. The data can be exported only after the subscription is reactivated. If it is not recharged within the specified period, your subscription and all the data in the subscription will be automatically deleted.

* After the 1RMB Trial subscription is suspended, your data will be kept for 15 days, and if you recharge it within 15 days, the subscription can be resumed.

* After the Standard Pay-in-Advance PIA subscription is suspended, your data will be kept for 90 days, and if you recharge it within 90 days, the subscription can be resumed.

* After the Enterprise Agreement subscription is suspended, your data will be kept for 90 days, and you need to pay for the excess amount and annual order within 90 days. You can contact <a href=""/support/contact/"">21Vianet customer support</a> to help you restart the subscription.","Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-6
What are the payment methods for my subscription? Can I change after the selection?,"* New purchase: The two online payment methods of Alipay and UnionPay Online are supported, and the payment method cannot be changed before the recharge order fails.

* Upgrade now: The three online payment methods of Alipay, UnionPay Online and wire transfer are supported, and the payment method cannot be changed before the recharge order fails.

* New purchase: The three online payment methods of Alipay, UnionPay Online and wire transfer are supported, and the payment method cannot be changed before the recharge order fails.

* Recharge: The three online payment methods of Alipay, Unionpay Online and wire transfer are supported, and the payment method can be changed at any time.","Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-7
How can I deal with an interruption in the process of using Alipay or UnionPay Online when purchasing a standard Pay-in-Advance account?,"Sign into <a id=""pay-interrupt-account"" href=""//account.windowsazure.cn/"" target=""_blank"">Azure Account Center</a> and click the yellow bar on the underside of the subscription to continue to pay.

Note: Using the UnionPay Online payment, after the order is submitted, the payment should be completed within 15 minutes. If the payment time is over 15 minutes, the payment may not be successfully done and the order should be resubmitted.","Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-8
How can I get my unpaid order? How long is the valid period of the order?,"Alipay orders are valid for 3 days. If you fail to complete the payment in time during the payment process, you can see the relevant prompt in the <a href=""//account.windowsazure.cn/Subscriptions"">Azure Account Center</a> within 3 days: ""Your ￥ 1,000.00 payment is waiting to be completed. If you have already completed the payment, please check it later. Click here to complete payment before XX/XX/XXXX."" Click this prompt to continue your payment. Alipay orders cannot be canceled manually. The system will automatically cancel them three days later.

UnionPay online orders generally expire within 1 hour, after which the Azure Account Center will give you the prompt: “Recharge on your subscription failed. Please click here to try again”. At this point, you can make the payment again and change the payment method.

Wire transfer orders shall be valid for 7 working days. If the payment is not completed within 7 working days, the wire transfer order will be cancelled on the back-end. If you need to cancel the wire transfer order, you need to contact the 21Vianet service hotline at 400-089-0365.

Please refer to the <a href=""/pricing/billing/azure-wire-transfer-overview"">Introduction to Wire Transfers</a> for operation steps and remittance information.","Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-9
"What should I do if I enter the wrong account/amount when I make a payment, and the payment is not completed?",,"Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-10
"Can the monthly usage report detail the cost of each Azure service I create (for example, a single virtual machine)?","No, the billing information in the Monthly Usage Report will be aggregated according to the Azure service and related types and specifications, so you cannot accurately query the individual charge for each Azure service.

Take the virtual machine as an example: if you have created multiple virtual machines of the same size and model, the billing information thereof will be displayed in a row in the monthly usage report. The “Consumed” column accumulates the usage of multiple virtual machines for billing.","Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-11
What is a Fapiao? What is the specific process for requesting a Fapiao? What types of Fapiao are there? Are Fapiao headers limited?,"Fapiaos are official receipts (provided by the seller) issued by the State Administration of Taxation for the purchase of domestic goods or services. The Chinese government uses Fapiaos to track tax payments.

1. Sign in to the <a href=""//account.windowsazure.cn/"">Azure Account Center</a>.

2. Click on the subscription you need to request a Fapiao for.

3. Click on Payment History.

4. Click on Manage Fapiao to register and make a request. Please see <a href=""https://docs.azure.cn/zh-cn/billing/billing-get-invoice"">Applying for Chinese Tax Fapiaos</a> for the detailed request process.

The Azure service in China can provide Chinese tax Fapiaos, including VAT special Fapiaos and VAT ordinary Fapiaos.

For the Fapiao title, enterprise customers should fill in information according to the actual situation.","Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-12
"After applying for a Fapiao, how do I get the Fapiao? Do I have to pay any extra costs?","The Fapiao can be sent by express delivery or obtained by yourself. It is printed and delivered by 21Vianet Shanghai Blue Cloud Technology Co., Ltd, and you can select Yunda Express or SF Express (for freight collect payment only).

Except for the above-mentioned freight payment collected by SF Express, you do not need to pay any extra fees.","Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-13
When can I apply for a Fapiao?,"You can apply for a Fapiao within 3 working days after the payment is successfully completed. Should you have any special requirements, please contact the 21Vianet Customer Service Center at 86-10-84563652 or 400-089-0365.","Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-14
What is the tax rate?,"According to relevant Chinese regulations, the tax rate for Azure Cloud Computing Services operated by 21Vianet is 6%.","Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-15
How do I sign in to a Fapiao account? What should I do if I can’t apply Fapiao after activating Fapiao account successfully? What should I do if I can’t apply for Fapiao?,"After entering the <a id=""support_faq_login"" href=""http://fapiao.cloud.21vianet.com/EmailAcount/LoginView"">Fapiao Application Interface</a>, you can click “Sign Up Account” in the right corner of the page and choose the product you’ve purchased to sign up for an Azure account.

If you are unable to apply for Fapiao after activating Fapiao account successfully, please call 21Vianet Customer Service Center: 86-10-84563652 or 400-089-0365.","Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-16
"When applying for a Fapiao, I chose to obtain the Fapiao by myself. What address can I pick it up at? Can I still change to express delivery?","The self-pickup address is 21Vianet Shanghai Branch, located at Building 3, Room 657, German Centre, No.88 Keyuan Road, Pudong District, Shanghai. You can contact Zhu Qinqin at 021-28986102.

You can sign into the <a href=""http://fapiao.cloud.21vianet.com/EmailAcount/LoginView"">Fapiao Management System</a> at any time to modify the delivery method of your Fapiao. For now, you can only select Yunda Express or SF Express (for freight collect payment only).","Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-17
How can I modify the registered mailbox in the Fapiao Management System?,"Click the mailbox at the upper right corner of the <a href=""http://fapiao.cloud.21vianet.com/"">Fapiao Management System</a>, and select Modify Email Address via the drop-down menu to enter your current password and new email and confirm the same. Then you can modify your email with a click. After the modification is completed, two emails will be sent to your two mailboxes, respectively, for notification.","Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-18
What can I do if I cannot receive an activation email when signing up for an Fapiao Management System account?,,"Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-19
Can I change the subscription name?,"Yes, you can use the <a href=""//account.windowsazure.cn/"">Azure Account Center</a> or <a href=""//portal.azure.cn/"">Azure portal</a> to rename your subscription. For detailed steps, please refer to the <a href=""//docs.azure.cn/zh-cn/billing/billing-how-to-change-azure-account-profile"" id=""support_faq_how-to-change-azure-account-profile"">Changing Subscription Names and Account Contacts Link</a>.","Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-20
Can I change the service administrator?,"Yes. You need to establish new user’s information in the <a href=""//portal.azure.cn/"">Azure portal</a> first, and then change the role of the service administrator through the <a href=""//account.windowsazure.cn/"">Azure Account Center</a>, referring to <a href=""//docs.azure.cn/zh-cn/articles/azure-operations-guide/commerce/subscription-management/aog-commerce-subscription-management-billing-portal-guidance#%E8%AE%BE%E7%BD%AE%E6%9C%8D%E5%8A%A1%E7%AE%A1%E7%90%86%E5%91%98"">How to Set the Service Administrator</a> for specific steps.","Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-21
 How to establish the subscription user’s role and authorize different management limits for users? ,"There are three roles including the owner, contributor and reader under the Azure Account, and the roles are applicable to all resources. As the administrator of the account, you can distribute different roles to the business personnel in your company in accordance with the business requirements of your company. Please refer to <a href=""//docs.azure.cn/zh-cn/billing/billing-add-change-azure-subscription-administrator#add-azure-administrator-role"">Add or Alter the Role of the Azure Administrator Managing the Subscription or Service</a> for specific steps.","Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-22
 How many roles does the Azure Account have? ,,"Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-23
 Can I alter the Profile of the Account Administrator? ,"Yes. You can alter the Profile of the Account Administrator through the <a href=""//account.windowsazure.cn/"">Azure Account Center</a>, referring to <a href=""//docs.azure.cn/zh-cn/billing/billing-how-to-change-azure-account-profile"">Change Account Subscription Name and Contact Method</a> for specific steps.","Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-24
 How to view the current Azure quota and its service conditions?,"The <a href=""//portal.azure.cn/"">Azure portal</a>, <a href=""/azure-cloud-assistant/"">Cloud Assistant APP</a> and PowerShell all provide the service conditions of the Azure quota resources. Refer to <a href=""//docs.azure.cn/zh-cn/articles/azure-operations-guide/commerce/quota-increase/aog-commerce-quota-increase-process#%E6%B3%A8%E6%84%8F%E4%BA%8B%E9%A1%B9"">How to View Azure Quota Resources</a> for specific steps.","Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-25
 Can I apply for the Azure quota resources? And how can I apply for it?,"Yes. You can contact the <a href=""/support/contact/"">21Vianet support team</a> to submit a service request. Please refer to <a href=""//docs.azure.cn/zh-cn/articles/azure-operations-guide/commerce/quota-increase/aog-commerce-quota-increase-process"">How to Apply for Azure Quota Resources</a> for details.

Note: if your quota demand is quite large and urgent, we recommend that you apply for it at least three working days in advance.","Billing, subscription, and Fapiao",https://www.azure.cn/en-us/support/faq#q-3-26
"During the maintenance period, how long will a single IaaS virtual machine or single PaaS role instance stays offline?",,Implementation and Maintenance,https://www.azure.cn/en-us/support/faq#q-4-1
" If my virtual machine is impacted for a relatively short time, can I define the maintenance time point on my own?",,Implementation and Maintenance,https://www.azure.cn/en-us/support/faq#q-4-2
