Question,Answer,score,yq_comment_a
如何对虚拟机备份,恢复服务保管库仍然支持[经典管理门户](https://manage.windowsazure.cn/)中所有现有的备份保管库。 但是，无法再使用经典管理门户来部署新的备份保管库。 Microsoft 建议对所有部署使用恢复服务保管库，因为将来只会对恢复服务保管库进行增强。 如果尝试在经典管理门户中创建备份保管库，系统会重定向到 [Azure 门户](https://portal.azure.cn/)。,1.68224,incorrect
如何对虚拟机备份,"在 Azure 备份作业开始后取消，不会删除已传输的备份数据。 在备份作业取消之前传输到保管库中的所有数据将保留在保管库中。 Azure 备份使用检查点机制，在备份过程中偶尔要对备份数据添加检查点。 由于备份数据中有检查点，下次备份过程可以验证文件的完整性。 下一备份作业会在已备份数据的基础上进行增量备份。 增量备份仅传输新的或已更改的数据，这相当于更好地利用带宽。
如果取消 Azure VM 的备份作业，则会忽略任何已传输的数据。 下次备份作业将传输上次成功的备份作业之后的增量数据",1.5963,incorrect
虚拟机如何挂载磁盘,客户可以生成托管磁盘的快照，并使用快照创建另一个托管磁盘。,0.165295,incorrect
虚拟机如何挂载磁盘,可以调整Azure VM OS 磁盘的大小。有关说明，请参阅 [How to expand the OS drive of a Virtual Machine in an Azure Resource Group](https://docs.azure.cn/virtual-machines/windows/expand-os-disk?toc=/virtual-machines/windows/toc.json)（如何扩展 Azure 资源组中虚拟机的 OS 驱动器）。,0.101396,incorrect
虚拟机如何挂载磁盘,托管磁盘是一种通过处理存储帐户管理来简化 Azure IaaS VM 的磁盘管理的功能。 有关详细信息，请参阅[托管磁盘概述](https://docs.azure.cn/virtual-machines/windows/managed-disks-overview)。,0.0971864,related
VM大小调整,"弹性池按以下特征计费：
 *   弹性池一创建即计费，即使池中没有数据库。
 *   弹性池按小时计费。 该计量频率与单一数据库性能级别的计量频率相同。
 *   如果将弹性池的大小调整为新的 eDTU 数，在调整操作完成之前，不会按新的 eDTU 数计费。 这种计费所遵循的模式与更改单一数据库的性能级别所遵循的模式相同。
 *   弹性池的价格取决于池的 eDTU 数量。 弹性池的价格与池内弹性数据库的数目和使用率无关。
 *   价格的计算公式为：（池 eDTU 的数量）x（每 eDTU 的单位价格）。
弹性池的 eDTU 单价高于同一服务层中单一数据库的 DTU 单价。 有关详细信息，请参阅 [SQL 数据库定价](https://www.azure.cn/pricing/details/sql-database/)。 
若要了解 eDTU 和服务层，请参阅 [SQL 数据库选项和性能](https://docs.azure.cn/sql-database/sql-database-service-tiers)",1.45963,not-related
VM大小调整,"1. 对于某些需要较长时间才能完成的 Redis 命令，在未了解这些命令造成的影响的情况下，不应运行这些命令。
2. 键大小 - 应使用小键/值还是大键/值？ 通常这取决于方案。 如果方案需要较大的键，则可调整 ConnectionTimeout 和重试值，并调整重试逻辑。 从 Redis 服务器的角度来看，值越小，性能就越好。
3. 这些考量并不意味着不能在 Redis 中存储较大值，只是要注意以下事项。 延迟会提高。 如果采用一个较大的数据集和一个较小的数据集，则可以使用多个 ConnectionMultiplexer 实例，并根据 [StackExchange.Redis 配置选项有什么作用](https://docs.azure.cn/redis-cache/#cache-configuration)部分中所述，为每个实例配置一组不同的超时和重试值。",1.38546,not-related
VM大小调整,不得使用临时磁盘（Windows 默认的 D: 盘或 Linux 的 /dev/sdb1）存储数据。 这些磁盘只是临时存储空间，因此存在丢失数据且无法恢复数据的风险。 将虚拟机迁移到其他主机时，可能会发生这种情况。 调整虚拟机大小，更新主机和主机硬件故障都是需要迁移动虚拟机的原因。,1.2971,not-related
异地冗余存储如何迁移到本地冗余存储,Azure 备份提供两种类型的复制：本地冗余存储和异地冗余存储。本地冗余存储 (LRS) 将同一区域的配对数据中心内的数据复制三次（创建三个数据副本）。异地冗余存储 (GRS) 将数据复制到源数据主位置数公里之外的次要区域中。为了防止因为一个区域的灾难影响存储服务临时不可用，我们建议客户使用读取访问异地冗余存储 (RA-GRS)方式复制数据，这样当主区域存储账户不可用时，可以从次要区域访问数据。有关 Azure 中各种数据服务的备份和容灾能力以及备份方式说明，请参阅[执行与维护中的如何做好数据备份](https://www.azure.cn/support/faq/)？,3.83269,related
异地冗余存储如何迁移到本地冗余存储,Azure 托管磁盘当前仅支持本地冗余存储托管磁盘。,1.53184,incorrect
异地冗余存储如何迁移到本地冗余存储,我们提供异地冗余。中国北京及上海两个数据中心是有独占10G以上带宽相连。数据储存方面，Azure 支持两种模式：*   同一数据中心的文件冗余，即在同一个数据中心文件进行三重备份;*   不同数据中心的异地冗余，文件在异地数据中心也进行三重冗余，这样在两个不同的数据中心一共有6重备份。举个例子，我向上海的 Azure 数据中心上传了一份文件，同时开启了异地冗余。首先我的文件会在上海的数据中心进行三重备份；同时，Azure 会利用上海和北京之间的专线，异步地在北京的数据中心也进行三重备份。在某些极端的情况下，假设上海的数据中心因为地震、战争、洪水等原因完全宕机了，我的文件还能安全的保存在北京的数据中心，不会丢失。由于我们出色的储存设置，很多客户把 Azure 做为数据备份的解决方案。,1.30607,incorrect
自动开关机,"可以将运行 Windows 或 Linux 的物理服务器复制到 Azure 或辅助站点。 [了解](https://docs.azure.cn/site-recovery/site-recovery-support-matrix-to-azure#failed-over-azure-vm-requirements)操作系统要求。 无论是将物理服务器复制到 Azure 还是辅助站点，都需要满足相同的要求。
请注意，如果本地服务器关闭，物理服务器会在 Azure 中以 VM 的形式运行。 当前不支持故障回复到本地物理服务器。 对于作为物理机进行保护的计算机，只能故障回复到 VMware 虚拟机。",1.52664,incorrect
CDN配置咨询,Azure 相关的配置和开发问题，请咨询[世纪互联 Azure 支持客服](https://www.azure.cn/support/contact/)。,1.80119,related
CDN配置咨询,购买了具有给定带宽的 Azure ExpressRoute 线路，可以根据需要提升到更高的速度。 ExpressRoute 线路的配置允许免费将速度提升到所购带宽限制的两倍。 请咨询服务提供商，确定他们是否支持此功能。,1.27027,not-related
CDN配置咨询,"请参阅以下链接，了解配置信息：
*   有关兼容 VPN 设备的信息，请参阅 [VPN 设备](https://docs.azure.cn/vpn-gateway/vpn-gateway-about-vpn-devices)。
*   在配置 VPN 设备之前，对于要使用的 VPN 设备，请查看是否存在任何[已知的设备兼容性问题](https://docs.azure.cn/vpn-gateway/vpn-gateway-about-vpn-devices#known)。
*   有关设备配置设置的链接，请参阅[已验证的 VPN 设备](https://docs.azure.cn/vpn-gateway/vpn-gateway-about-vpn-devices#devicetable)。 我们会尽力提供各种设备配置链接。 如需最新的配置信息，最好是咨询设备制造商。 我们提供的列表会显示已测试的版本。 如果你的 OS 不在该列表中，则仍有可能版本是兼容的。 请与设备制造商联系以验证 VPN 设备的 OS 版本是否兼容。
*   有关 VPN 设备配置的概述，请参阅[第三方 VPN 设备配置概述](https://docs.azure.cn/vpn-gateway/vpn-gateway-3rdparty-device-config-overview)。
*   若要了解如何编辑设备配置示例，请参阅[编辑示例](https://docs.azure.cn/vpn-gateway/vpn-gateway-about-vpn-devices#editing)。
*   有关加密要求的信息，请参阅[关于加密要求和 Azure VPN 网关](https://docs.azure.cn/vpn-gateway/vpn-gateway-about-compliance-crypto)。
*   有关 IPsec/IKE 参数的信息，请参阅[关于用于站点到站点 VPN 网关连接的 VPN 设备和 IPsec/IKE 参数](https://docs.azure.cn/vpn-gateway/vpn-gateway-about-vpn-devices#ipsec)。 除了完成配置所需的其他参数信息外，此链接还显示有关 IKE 版本、Diffie-Hellman 组、身份验证方法、加密和哈希算法、SA 生存期、PFS 和 DPD 的信息。
*   有关 IPsec/IKE 策略的配置步骤，请参阅[配置用于 S2S VPN 或 VNet 到 VNet 连接的 IPsec/IKE 策略](https://docs.azure.cn/vpn-gateway/vpn-gateway-ipsecikepolicy-rm-powershell)。
*   若要连接多个基于策略的 VPN 设备，请参阅[使用 PowerShell 将 Azure VPN 网关连接到多个基于策略的本地 VPN 设备](https://docs.azure.cn/vpn-gateway/vpn-gateway-connect-multiple-policybased-rm-ps)。",0.639056,not-related
如何查看WAF的诊断日志和防火墙日志,可通过诊断日志记录监视 WAF。有关诊断日志记录的详细信息，请参阅 [Diagnostics Logging and Metrics for Application Gateway](https://docs.azure.cn/application-gateway/application-gateway-diagnostics)（应用程序网关的诊断日志记录和指标）,2.2089,correct
如何查看WAF的诊断日志和防火墙日志,"Azure 应用程序网关可以使用三种日志。 有关这些日志和其他诊断功能的详细信息，请访问[应用程序网关的后端运行状况、诊断日志和指标](https://docs.azure.cn/application-gateway/application-gateway-diagnostics)。
- ApplicationGatewayAccessLog：访问日志包含提交到应用程序网关前端的每个请求。 数据包括调用方的 IP、请求的 URL、响应延迟、返回代码，以及传入和传出的字节数。每隔 300 秒会收集一次访问日志。 此日志包含每个应用程序网关实例的一条记录。
- ApplicationGatewayPerformanceLog：性能日志捕获每个实例的性能信息，包括提供的请求总数、吞吐量（以字节为单位）、失败的请求计数、正常和不正常的后端实例计数。
- ApplicationGatewayFirewallLog：防火墙日志包含通过应用程序网关（配置有 Web 应用程序防火墙）的检测或阻止模式记录的请求。",2.039,related
如何查看WAF的诊断日志和防火墙日志,"Azure Cosmos DB 针对操作设置上限，在性能和延迟方面提供保证。 如果引擎可以针对租户的操作实施调控，则可以提供这样的保证。 这可以通过设置吞吐量来实现，并可确保在吞吐量和延迟方面获得保障，因为平台会保留此容量，并保证操作成功。 当超出此容量时，会收到超载错误消息，指出已超出了容量。 0x1001 超载：无法处理此请求，因为""请求速率太大""。 此时，必须查明是哪些操作及其数据量导致了此问题。 可以通过门户中的指标了解超出了预配容量的已消耗容量。 然后，你需要确保容量差不多是在所有基础分区中平均消耗的。 如果你看到大多数吞吐量是由一个分区消耗的，则说明存在工作负载倾斜。 
相关指标显示了吞吐量在若干小时内、若干天内以及每七天内在各个分区中的使用情况或总体使用情况。 有关详细信息，请参阅[使用 Azure Cosmos DB 中的指标进行监视和调试](https://docs.azure.cn/cosmos-db/use-metrics)。
[Azure Cosmos DB 诊断日志记录](https://docs.azure.cn/cosmos-db/logging)一文中介绍了诊断日志。",0.892221,not-related
专线咨询,Azure 相关的配置和开发问题，请咨询[世纪互联 Azure 支持客服](https://www.azure.cn/support/contact/)。,1.56724,not-related
专线咨询,购买了具有给定带宽的 Azure ExpressRoute 线路，可以根据需要提升到更高的速度。 ExpressRoute 线路的配置允许免费将速度提升到所购带宽限制的两倍。 请咨询服务提供商，确定他们是否支持此功能。,1.02646,related
专线咨询,您可以在 Azure 门户中的价格表查看和下载您的价格。间接在线高级协议合约，请咨询您的合作伙伴,0.463252,not-related
Azure账户余额咨询,1 元账号在使用的额度和时间上有一些限制。如果 1 元账号余额不足，则需要续费才能完成发布，如果没有余额或账号到期，则账号可能被删除。所以建议对 1 元账号进行升级，以保证镜像更新和测试需求。[1 元试用账号订阅详情](https://www.azure.cn/offers/ms-mc-azr-44p/),0.750151,related
Azure账户余额咨询,"标准预付费订阅需要通过预付费方式进行购买。按照用户的实际使用量扣减余额，不支持超额使用，当余额为 0 时服务将被即刻停用，需要充值才能继续使用。标准预付费订阅采用线上支付最低预付充值金额为 1,000 元，采用电汇支付最低预付金额为 5,000 元，有效期为单次充值后 12 个月 。 *   [标准预付产品详情](https://www.azure.cn/offers/ms-mc-arz-33p/)*   [我要购买](https://www.azure.cn/pricing/pia-waiting-list/?form-type=identityauth/)*   [标准预付费订阅注册流程](https://docs.azure.cn/zh-cn/billing/billing-sign-up-azure-account-and-get-a-pia-subscription)",0.567172,incorrect
Azure账户余额咨询,在使用由世纪互联运营的 Microsoft Azure 服务期间，您预留的联系人邮箱将每周收到剩余金额及有效期的提醒邮件。您也可以随时登录[Azure 账户中心](https://account.windowsazure.cn/subscriptions)查看剩余金额及有效期，建议您根据实际使用量进行评估，预留充足的余额。,0.118266,related
增加核数,EA trial客户如需申请加核/添加核数，请联系您的大客户经理。,1.94965,related
重新激活订阅,企业合同用户不能自助激活已取消的订阅。请联系 21 世纪互联完成激活流程。 ,2.53022,related
重新激活订阅,如果您在注册成功后的 24 小时内没有收到账号激活邮件，可以到发票申请界面点击 “**重发激活邮件**”，系统将再次发送账号激活邮件到您的注册邮箱。若您尝试 “**重发激活邮件**” 后还是无法收到激活邮件，请联系世纪互联客户服务中心，电话：400-089-0365.,2.33437,related
重新激活订阅,"可以，可以将订阅所有权转给不同账户。比如，一个合约下有 3 个订阅，企业管理员可以将一个订阅转到账户 B，一个订阅转到账户 c,一个订阅转到账户 D 或者都转给账户 E.具体操作可以前往 EA 门户，点击管理门户，找到转移所有权图标，然后选择转移订阅选项。请注意：这个选项只适用于已激活账户",1.70655,not-related
1元试用支付不成功,"每位新客户仅有一次享受试用优惠的机会，所以同一个付费账户（包括中国银联和支付宝账户）只能购买一次。如果您使用的付费账户之前已经成功申请并进行过付费，那么此时再次申请并支付 1 元费用时，就可能会出现该问题，即在付费订阅页面显示成功付款，但 Azure 注册页面显示付款失败。
针对以上状况所发生的 1 元交易，退款系统会自动退回该付费账户，具体退款时间将因各家银行和银行卡的作业有所不同。
所以如果您需要多个订阅或者已经试用过 1 元试用订阅，欢迎参考[使用标准预付费订阅](https://www.azure.cn/offers/ms-mc-arz-33p/)。",2.61353,related
1元试用支付不成功,"* 1 元试用订阅 
不支持电汇方式付款。1 元试用订阅仅支持支付宝和银联在线支付两种线上付款方式。
* 标准预付费订阅 
支持电汇付款。标准预付费订阅支持支付宝、银联在线支付和电汇三种支付方式，选择前两种线上支付的最低付款金额为 1,000 元人民币，电汇的最低支付金额为 5,000 元人民币。电汇的详情操作方式请参考[电汇说明](https://docs.azure.cn/zh-cn/billing/billing-pay-for-subscription-via-wire-transfer)。",2.19034,related
1元试用支付不成功,"激活 1 元试用订阅时支持支付宝和银联在线付款两种线上付款方式。且充值订单失效前不能更换支付方式。

1 元试用订阅升级为标准预付费订阅时，支持支付宝、银联在线付款和电汇三种线上付款方式，且充值订单失效前不能更换支付方式。",1.39659,incorrect
创建linux虚拟机失败,可以复制或克隆现有的 Azure VM。有关说明，请参阅[如何在 Resource Manager 部署模型中创建 Linux 虚拟机的副本](https://docs.azure.cn/virtual-machines/linux/copy-vm?toc=/virtual-machines/linux/toc.json),1.29979,not-related
创建linux虚拟机失败,"如果从 Key Vault 中删除机密，然后对所有 VM 运行 `stop deallocate`，则再次启动这些 VM 时，会发生失败。 失败发生的原因是 CRP 需要从密钥保管库检索机密，但它无法进行检索。 在这种情况下，可以从虚拟机规模集模型中删除证书。 
CRP 组件不会持久保留客户机密。 如果对虚拟机规模集中的所有虚拟机运行 `stop deallocate`，会删除缓存。 在这种情况下，将从密钥保管库中检索机密。
扩大时不会遇到此问题，因为（单 Fabric 租户模型中的）Azure Service Fabric 中存在机密的缓存副本。",1.14391,not-related
创建linux虚拟机失败,"虚拟机无法连接，可参照以下文档：
*[Azure Windows 虚拟机常见导致无法远程的操作](https://docs.azure.cn/zh-cn/articles/azure-operations-guide/virtual-machines/windows/aog-virtual-machines-windows-scenarios-unable-to-remote)；
*[排查 Azure 虚拟机的远程桌面连接问题](https://docs.azure.cn/zh-cn/virtual-machines/windows/troubleshoot-rdp-connection)；
*[Linux 虚拟机虚拟网卡问题导致无法连接问题](https://docs.azure.cn/zh-cn/articles/azure-operations-guide/virtual-machines/linux/aog-virtual-machines-qa-linux-visual-network-adaper-error)",1.08635,not-related
服务器无法连接,"有几个选择。 如果为 VM 启用了 RDP，则可使用专用 IP 地址连接到虚拟机。 在这种情况下，需要指定要连接到的专用 IP 地址和端口（通常为 3389）。 需要配置用于流量的虚拟机端口。
也可以使用位于同一虚拟网络中的另一个虚拟机的专用 IP 地址连接到虚拟机。 如果要从虚拟网络外部的位置进行连接，则无法使用专用 IP 地址 RDP 到虚拟机。 例如，如果配置了点到站点虚拟网络，并且未从计算机建立连接，则无法通过专用 IP 地址连接到虚拟机。",2.10644,incorrect
服务器无法连接,"虚拟机无法连接，可参照以下文档：
*[Azure Windows 虚拟机常见导致无法远程的操作](https://docs.azure.cn/zh-cn/articles/azure-operations-guide/virtual-machines/windows/aog-virtual-machines-windows-scenarios-unable-to-remote)；
*[排查 Azure 虚拟机的远程桌面连接问题](https://docs.azure.cn/zh-cn/virtual-machines/windows/troubleshoot-rdp-connection)；
*[Linux 虚拟机虚拟网卡问题导致无法连接问题](https://docs.azure.cn/zh-cn/articles/azure-operations-guide/virtual-machines/linux/aog-virtual-machines-qa-linux-visual-network-adaper-error)",1.97877,related
服务器无法连接,在开启了Azure SQL Database Table Auditing 之后，对于下层客户端来说，需要修改连接字符串，否则会出现无法连接的情况。具体参考[Azure SQL 数据库常见的连接问题](https://docs.azure.cn/zh-cn/articles/azure-operations-guide/sql-database/aog-sql-database-connection-faq#section5)。,1.17772,not-related
VM数据丢失,"Azure 虚拟机磁盘中包含一个临时盘, D：磁盘 ( Windows ) 或者 /dev/sdb1 ( Linux )。它们仅提供临时暂存，其上存储的数据在某些情况下可能会丢失且完全无法恢复。建议您不要用该磁盘保存需要持久化存储的数据。用户必须自行承担由此导致的丢失数据的风险。 临时盘数据丢失通常发生在虚拟机迁移到不同主机上时。虚拟机迁移的一些原因包括调整虚拟机大小、更新主机或主机上硬件故障。虚拟机迁移发生的时间不可预知， 且很可能发生在客户未进行任何操作的情况下。所以我们建议您不要用该磁盘保存需要持久化存储的数据。 了解更多信息，请参考以下链接：

[关于 Azure Windows VM 的磁盘存储](https://docs.azure.cn/virtual-machines/windows/about-disks-and-vhds)

[在 Azure 中管理 Windows 虚拟机的可用性](https://docs.azure.cn/virtual-machines/windows/manage-availability)

[Azure VM 为何会重新启动](https://blogs.msdn.microsoft.com/azchina/2014/04/18/azure-vm/)

[服务级别协议](https://www.azure.cn/support/legal/sla/)",3.0708,related
VM数据丢失,"不要使用临时磁盘来存储数据。 它只是临时存储空间，因此存在丢失数据且数据不能恢复的风险。 将虚拟机移到另一主机时，可能会发生数据丢失的情况。 调整虚拟机大小、更新主机、主机硬件故障等都是需要移动虚拟机的原因。
如果有应用程序需要使用 D: 驱动器号，可以重新分配驱动器号以便临时磁盘使用除 D: 以外的位置。 有关说明，请参阅[更改 Windows 临时磁盘的驱动器号](https://docs.azure.cn/virtual-machines/windows/change-drive-letter?toc=/virtual-machines/windows/classic/toc.json)",2.39247,related
VM数据丢失,不要使用临时磁盘 (/dev/sdb1) 存储数据。 它只是用于临时存储。 有丢失无法恢复的数据的风险。,1.73849,related
如何获取Root权限,"支持,虽然我们的[管理门户](https://portal.azure.cn/) 以及PowerShell命令行在创建用户或数据库时只支持对整个数据库设置读写权限，但你可以用“grant”命令对用户权限进行更细化的设置。",0.252476,not-related
如何获取Root权限,"用户名最长为 20 个字符，不能以句点（"".""）结尾。 
不允许使用以下用户名： administrator  admin  user  user1test  user2  test1  user3admin1  1  123  aactuser  adm  admin2  aspnetbackup  console  david  guestjohn  owner  root  serversql  support  support_388945a0  systest2  test3  user4  user5",0.115503,not-related
无法远程登录虚机,"可以通过编辑定时任务脚本 /etc/cron.d/raid-check, 修改Azure Linux 虚机中RAID 的每周自检执行时间。",0.0338749,not-related
虚拟机防火墙配置咨询,Azure 相关的配置和开发问题，请咨询[世纪互联 Azure 支持客服](https://www.azure.cn/support/contact/)。,0.51474,incorrect
虚拟机防火墙配置咨询,"Azure 支持两种类型的点到站点 VPN 选项：
 *   安全套接字隧道协议 (SSTP)。 SSTP 是 Microsoft 专有的基于 SSL 的解决方案，它可以穿透防火墙，因为大多数防火墙都打开了 443 SSL 使用的 TCP 端口。
 *   IKEv2 VPN。 IKEv2 VPN 是一个基于标准的 IPsec VPN 解决方案，它使用 UDP 端口 500 和 4500 以及 IP 协议号 50。 防火墙并非始终打开这些端口，因此，IKEv2 VPN 有可能无法穿过代理和防火墙。",0.30131,incorrect
虚拟机防火墙配置咨询,可以在与 VNet 连接的资源之间实施防火墙。 可以通过 Azure 应用商店部署许多供应商提供 [防火墙网络虚拟设备](https://azure.microsoft.com/marketplace/?term=firewall),0.166519,incorrect
EA账户添加订阅,"可以，可以将订阅所有权转给不同账户。比如，一个合约下有 3 个订阅，企业管理员可以将一个订阅转到账户 B，一个订阅转到账户 c,一个订阅转到账户 D 或者都转给账户 E.具体操作可以前往 EA 门户，点击管理门户，找到转移所有权图标，然后选择转移订阅选项。请注意：这个选项只适用于已激活账户",2.09766,incorrect
EA账户添加订阅,"账户所有者是注册或购买 Azure 订阅的人员。 他们有权访问[帐户中心](https://account.windowsazure.cn)并执行各种管理任务，例如创建订阅、取消订阅、更改订阅的计费信息，或者更改服务管理员。 如果不确定谁是订阅的账户所有者，可使用以下步骤查明。

   - 请访问 [企业门户](https://ea.azure.cn)。
   - 查看管理>订阅界面，选择要检查的订阅，查看对应账户名称。
   - 在管理>账户界面，搜索账户名称，查看对应的账户。",1.94855,incorrect
EA账户添加订阅,"**账户所有者**

* 添加,管理订阅
* 管理服务管理员
* 查看订阅的使用数据

[更多](https://docs.azure.cn/zh-cn/articles/azure-china-purchasing-guidance/go-china-playbook-ospa-faqs#%E8%B4%A6%E6%88%B10)",1.62726,incorrect
用量查询,解决方案仪表板中的设备列表使用查询来返回设备列表。 目前，查询返回的设备数不能超过 10000。 可以尝试让查询的搜索条件更具限制性。,2.08067,incorrect
用量查询,"1. 数据库表一定要设置主键（Primary Key），否则会导致复制慢甚至复制被阻塞的情况。
2. 提升只读实例的性能版本可以直接提升只读实例的吞吐能力（throughput），这样做一方面可以更快地执行更新，加速同步过程，另一方面也可以快速响应读操作。
3. 如果某个查询语句对于时间很敏感，无论怎么缩短延迟都达不到要求，那么可以将这个查询放到主库上执行。但这就需要用户在程序中指定特定查询语句在特定实例上执行。",2.01893,not-related
用量查询,"* 查询开票进度，及未收到发票的问题查询。
* 更改发票信息或类型。请您寄回已开发票，我们会即刻给您更换新发票。
Azure 用户可以通过 [Azure 支持](https://www.azure.cn/support/contact/) 提交工单。",1.53371,not-related
余额查询,解决方案仪表板中的设备列表使用查询来返回设备列表。 目前，查询返回的设备数不能超过 10000。 可以尝试让查询的搜索条件更具限制性。,2.08067,incorrect
余额查询,"1. 数据库表一定要设置主键（Primary Key），否则会导致复制慢甚至复制被阻塞的情况。
2. 提升只读实例的性能版本可以直接提升只读实例的吞吐能力（throughput），这样做一方面可以更快地执行更新，加速同步过程，另一方面也可以快速响应读操作。
3. 如果某个查询语句对于时间很敏感，无论怎么缩短延迟都达不到要求，那么可以将这个查询放到主库上执行。但这就需要用户在程序中指定特定查询语句在特定实例上执行。",2.01893,not-related
余额查询,"* 查询开票进度，及未收到发票的问题查询。
* 更改发票信息或类型。请您寄回已开发票，我们会即刻给您更换新发票。
Azure 用户可以通过 [Azure 支持](https://www.azure.cn/support/contact/) 提交工单。",1.53371,not-related
虚拟机端口ping不通,可以连接外网。请参考相关技术文档，[Use port pings instead of ICMP to test Azure VM connectivity](https://blogs.msdn.microsoft.com/mast/2014/06/22/use-port-pings-instead-of-icmp-to-test-azure-vm-connectivity/),0.166809,not-related
