Question,Answer,URL,ms.service,keywords
更改Office 365密码时忘记现有密码，怎么办？,"对于这种情况，有几个选项。 在可用的情况下，使用自助密码重置 (SSPR)。 SSPR 是否适用取决于其配置方式。 
对于 Office 365 用户，管理员可以使用 [重置用户密码](https://support.office.com/en-us/article/Admins-Reset-user-passwords-7A5D073B-7FAE-4AA5-8F96-9ECD041ABA9C?ui=en-US&rs=en-US&ad=US)中所述的步骤重置密码。
对于 Azure AD 帐户，管理员可以使用以下选项之一重置密码:
  *   [在经典管理门户中重置帐户](https://docs.azure.cn/active-directory/active-directory-create-users-reset-password)
  *   [使用 PowerShell](https://docs.microsoft.com/powershell/module/msonline/set-msoluserpassword?view=azureadps-1.0)",https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
如果尝试更改 Office 365/Azure AD 密码时忘记了现有的密码，该怎么办？,"对于这种情况，有几个选项。 在可用的情况下，使用自助密码重置 (SSPR)。 SSPR 是否适用取决于其配置方式。 
对于 Office 365 用户，管理员可以使用 [重置用户密码](https://support.office.com/en-us/article/Admins-Reset-user-passwords-7A5D073B-7FAE-4AA5-8F96-9ECD041ABA9C?ui=en-US&rs=en-US&ad=US)中所述的步骤重置密码。
对于 Azure AD 帐户，管理员可以使用以下选项之一重置密码:
  *   [在经典管理门户中重置帐户](https://docs.azure.cn/active-directory/active-directory-create-users-reset-password)
  *   [使用 PowerShell](https://docs.microsoft.com/powershell/module/msonline/set-msoluserpassword?view=azureadps-1.0)",https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
Azure AD 是否为组织中的用户提供自助服务门户？,Azure AD 提供 [Azure AD 访问面板](https://login.partner.microsoftonline.cn/) ，方便用户使用自助服务以及进行应用程序访问。 如果是 Office 365 客户，可以在 Office 365 门户中找到许多相同的功能。,https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
Azure 订阅管理员与 Azure AD 目录管理员的区别是什么？," 默认情况下，当用户注册 Azure 时，系统会为其分配订阅管理员角色。 订阅管理员可以使用 Microsoft 帐户，也可以使用 Azure 订阅与之关联的目录中的工作或学校帐户。 此角色有权在 Azure 门户中管理服务。
如果其他人需要使用同一个订阅登录和访问服务，则可将其添加为共同管理员。 此角色具有与服务管理员一样的访问特权，但不能更改订阅与 Azure 目录之间的关联关系。 有关订阅管理员的其他信息，请参阅 [Azure 订阅与 Azure Active Directory 的关联方式](https://docs.azure.cn/active-directory/active-directory-how-subscriptions-associated-directory)。
Azure AD 提供另一组管理员角色来管理与目录和标识相关的功能。 这些管理员将有权访问 Azure 门户或 Azure 经典管理门户中的各种功能。 管理员的角色决定了其所能执行的操作，例如创建或编辑用户、向其他用户分配管理角色、重置用户密码、管理用户许可证，或者管理域。 有关 Azure AD 目录管理员及其角色的其他信息，请参阅[在 Azure Active Directory 中分配管理员角色](https://docs.azure.cn/active-directory/active-directory-assign-admin-roles)。
另外，Azure AD 付费型服务（例如企业移动性 + 安全性）可通过综合性的企业级管理和安全解决方案来弥补其他 Web 服务（例如 Office 365 和 Azure）的不足。",https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
如何在本地目录与云应用程序之间设置 SSO？,"只需在本地目录与 Azure AD 之间设置单一登录 (SSO)。 只要通过 Azure AD 访问云应用程序，该服务就会自动让用户使用其本地凭据正确进行身份验证。
可以通过联合身份验证解决方案（例如 Active Directory 联合身份验证服务 (AD FS)）或通过配置密码哈希同步，轻松地从本地实现 SSO。可以使用 Azure AD Connect 配置向导轻松部署这两个选项。
有关详细信息，请参阅[将本地标识与 Azure Active Directory 集成](https://docs.azure.cn/active-directory/connect/active-directory-aadconnect)",https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
是否可以对 Azure AD 管理员管理的密码使用密码写回？,可以对Azure AD 管理员管理的密码使用密码写回。如果已启用密码写回，管理员执行的密码操作将写回到用户的本地环境。,https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
如何将我的本地目录连接到 Azure AD？,"可以使用 Azure AD Connect 将本地目录连接到 Azure AD。
有关详细信息，请参阅[将本地标识与 Azure Active Directory 集成](https://docs.azure.cn/active-directory/connect/active-directory-aadconnect)。",https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
如果我已被添加为协作者，该如何离开原来的租户？,"如果被作为协作者添加到另一组织的租户，可使用右上角的""租户切换器""在租户之间切换。 目前还无法主动离开邀请组织，Microsoft 正致力于提供该功能。 在该功能推出之前，可以请求邀请组织将你从其租户中删除。",https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
"某些（常用）密码被拒绝并显示消息""此密码已使用多次""，这是指当前 Active Directory 中使用的密码吗？","这是指全局通用的密码，例如""Password""和""123456""的任何变体。",https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
怎样使用Azure AD 登录应用程序？,"Azure AD 提供多种方式供用户查看和访问其应用程序，例如：
 *   Azure AD 访问面板
 *   Office 365 应用程序启动器
 *   直接登录到联合应用
 *   联合、基于密码或现有应用的深层链接
有关详细信息，请参阅[为用户部署 Azure AD 集成的应用程序](https://docs.azure.cn/active-directory/active-directory-appssoaccess-whatis#deploying-azure-ad-integrated-applications-to-users)。",https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
SaaS 应用程序的自动用户预配是什么？, 使用 Azure AD 可在许多流行的云 (SaaS) 应用程序中自动创建、维护和删除用户标识。,https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
是否可以通过 Azure AD 设置安全的 LDAP 连接？,不可以。 Azure AD 不支持 LDAP 协议。,https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
失败尝试次数达到特定数字后会采取什么措施？,我们使用更复杂的策略锁定帐户。 此策略基于请求的 IP 和输入的密码。 根据存在攻击的可能性，锁定持续时间也会增加。,https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
问：是将在失败尝试次数达到特定数字后锁定帐户，还是会使用更复杂的策略？,我们使用更复杂的策略锁定帐户。 此策略基于请求的 IP 和输入的密码。 根据存在攻击的可能性，锁定持续时间也会增加。,https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
可不可以使用 Azure AD 设置 LDAP 连接？,不可以。 Azure AD 不支持 LDAP 协议。,https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
能不能通过 Azure AD 设置 LDAP 连接？,不可以。 Azure AD 不支持 LDAP 协议。,https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
能不能通过 Azure AD 设置安全的 LDAP 连接？,不可以。 Azure AD 不支持 LDAP 协议。,https://docs.azure.cn/active-directory/active-directory-faq,active-directory,
Azure Site to Site VPN客户本地网络设备的支持列表？,请参阅[ Site to Site VPN](https://docs.azure.cn/vpn-gateway/vpn-gateway-about-vpn-devices)信息。,https://www.azure.cn/support/faq/,vpn-gateway,
为什么在资源管理器模式的 VNET 中部署 API 管理时需要专用子网？,API 管理需要专用子网，因为它建立在经典（PAAS V1 层）部署模型之上。 虽然也可以在资源管理器 VNET（V2 层）中进行部署，但这样会导致后续问题。 Azure 中的经典部署模型与资源管理器模型结合不紧密，因此如果在 V2 层中创建资源，V1 层会毫不知情，这样会发生问题，例如 API 管理会尝试使用已经分配给 NIC（在 V2 上构建）的 IP。 若要深入了解 Azure 中经典模型和资源管理器模型的差异，请参阅[部署模型的差异](https://docs.azure.cn/azure-resource-manager/resource-manager-deployment-model)。,https://docs.azure.cn/api-management/api-management-faq,api-management,
如何向 Azure API 管理员组添加用户？,"下面是向 Azure API 管理员组添加用户的方法：
1.  登录到 [Azure 门户](https://portal.azure.cn/)。
2.  转到具有要更新的 API 管理实例的资源组。
3.  在 API 管理中，将 API 管理参与者角色分配给该用户。
现在，新添加的参与者可以使用 Azure PowerShell [cmdlet](https://msdn.microsoft.com/library/mt613507.aspx)。 下面是以管理员身份登录的方法：
1.  使用 `Login-AzureRmAccount -Environment $(Get-AzureRmEnvironment -Name AzureChinaCloud)` cmdlet 登录。
2.  使用 `` 将上下文设置为具有该服务的订阅。
3.  使用 `` 获取单一登录 URL。
4.  使用 URL 访问管理门户。",https://docs.azure.cn/api-management/api-management-faq,api-management,
如何向 Microsoft Azure API 管理团队提问？,"可使用以下选项之一联系我们：
*   在 [API 管理 MSDN 论坛](https://social.msdn.microsoft.com/forums/azure/home?forum=azureapimgmt)中发布问题。
*   向 [apimgmt@microsoft.com](mailto:apimgmt@microsoft.com) 发送电子邮件。
*   在 [Azure 反馈论坛](https://feedback.azure.com/forums/248703-api-management)中向我们发送功能请求。",https://docs.azure.cn/api-management/api-management-faq,api-management,
如何联系 Microsoft Azure API 管理团队？,"可使用以下选项之一联系我们：
*   在 [API 管理 MSDN 论坛](https://social.msdn.microsoft.com/forums/azure/home?forum=azureapimgmt)中发布问题。
*   向 [apimgmt@microsoft.com](mailto:apimgmt@microsoft.com) 发送电子邮件。
*   在 [Azure 反馈论坛](https://feedback.azure.com/forums/248703-api-management)中向我们发送功能请求。",https://docs.azure.cn/api-management/api-management-faq,api-management,
向多个地理位置进行部署时，API 管理使用何种路由方法？,向多个地理位置进行部署时，API 管理使用[性能流量路由方法](https://docs.azure.cn/traffic-manager/traffic-manager-routing-methods#priority)。 传入流量将路由到最近的 API 网关。 如果一个区域处于脱机状态，则传入流量会自动路由到下一个最近的网关。 在[流量管理器路由方法](https://docs.azure.cn/traffic-manager/traffic-manager-routing-methods)中了解有关路由方法的详细信息。,https://docs.azure.cn/api-management/api-management-faq,api-management,
API 管理网关 IP 地址是否不变？ 是否可以在防火墙规则中使用它？,"在标准层和高级层中，API 管理租户的公共 IP 地址 (VIP) 在租户生存期内是静态的，但有一些例外。 IP 地址在以下情况下更改：
*   服务被删除并重新创建。
*   服务订阅被[暂停](https://github.com/Azure/azure-resource-manager-rpc/blob/master/v1.0/subscription-lifecycle-api-reference.md#subscription-states)或[警告](https://github.com/Azure/azure-resource-manager-rpc/blob/master/v1.0/subscription-lifecycle-api-reference.md#subscription-states)（例如，由于未付款），然后被恢复。
*   添加或删除 Azure 虚拟网络（只能在开发人员层和高级层使用虚拟网络）。
对于多区域部署，仅当区域先空出然后恢复时，区域地址会更改（只能在高级层使用多区域部署）。
对于为多区域部署配置的高级层租户，每个区域分配一个公共 IP 地址。
可在 Azure 门户中的租户页面上获取一个 IP 地址（或者在多区域部署中获取多个 IP 地址）。",https://docs.azure.cn/api-management/api-management-faq,api-management,
为何在尝试克隆 Git 存储库时出现身份验证失败？,"如果使用 Git 凭据管理器，或者正在尝试使用 Visual Studio 克隆 Git 存储库，可能遇到""Windows 凭据""对话框的已知问题。 该对话框将密码长度限制为 127 个字符，并截断 Microsoft 生成的密码。 我们正致力于缩短密码。 目前请使用 Git Bash 克隆 Git 存储库。",https://docs.azure.cn/api-management/api-management-faq,api-management,
克隆 Git 存储库时显示身份验证失败？,"如果使用 Git 凭据管理器，或者正在尝试使用 Visual Studio 克隆 Git 存储库，可能遇到""Windows 凭据""对话框的已知问题。 该对话框将密码长度限制为 127 个字符，并截断 Microsoft 生成的密码。 我们正致力于缩短密码。 目前请使用 Git Bash 克隆 Git 存储库。",https://docs.azure.cn/api-management/api-management-faq,api-management,
如何将 API 管理服务实例复制到新实例？,"如果要将 API 管理实例复制到新实例，则有多个选项。 可以：
*   使用 API 管理中的备份和还原功能。 有关详细信息，请参阅[如何使用 Azure API 管理中的服务备份和还原实现灾难恢复](https://docs.azure.cn/api-management/api-management-howto-disaster-recovery-backup-restore)。
*   使用 [API 管理 REST API](https://msdn.microsoft.com/library/azure/dn776326.aspx) 创建自己的备份和还原功能。 使用 REST API 保存和还原所需服务实例中的实体。
*   使用 Git 下载服务配置，然后将其上传到新实例。 有关详细信息，请参阅[如何使用 Git 保存和配置 API 管理服务](https://docs.azure.cn/api-management/api-management-configuration-repository-git)。",https://docs.azure.cn/api-management/api-management-faq,api-management,
为什么策略在策略编辑器中不可用?,如果要添加的策略在策略管理器中显示为变暗或有阴影，请确保你处于该策略的正确范围内。 每个策略声明都设计为在特定范围和策略部分中使用。 若要查看策略部分和策略范围，请参阅 [API 管理策略](https://msdn.microsoft.com/library/azure/dn894080.aspx)中的策略的用法部分。,https://docs.azure.cn/api-management/api-management-faq,api-management,
想要添加的策略为何在策略编辑器中不可用？,如果要添加的策略在策略管理器中显示为变暗或有阴影，请确保你处于该策略的正确范围内。 每个策略声明都设计为在特定范围和策略部分中使用。 若要查看策略部分和策略范围，请参阅 [API 管理策略](https://msdn.microsoft.com/library/azure/dn894080.aspx)中的策略的用法部分。,https://docs.azure.cn/api-management/api-management-faq,api-management,
是否可将 SOAP 用于 API 管理？,当前已提供 [SOAP 传递](http://blogs.msdn.microsoft.com/apimanagement/2016/10/13/soap-pass-through/)支持。 管理员可以导入其 SOAP 服务的 WSDL，以便 Azure API 管理创建一个 SOAP 前端。 开发人员门户文档、测试控制台、策略和分析都可用于 SOAP 服务。,https://docs.azure.cn/api-management/api-management-faq,api-management,
能不能将 SOAP 用于 API 管理？,当前已提供 [SOAP 传递](http://blogs.msdn.microsoft.com/apimanagement/2016/10/13/soap-pass-through/)支持。 管理员可以导入其 SOAP 服务的 WSDL，以便 Azure API 管理创建一个 SOAP 前端。 开发人员门户文档、测试控制台、策略和分析都可用于 SOAP 服务。,https://docs.azure.cn/api-management/api-management-faq,api-management,
功能处于预览状态意味着什么？,当功能处于预览状态时，这意味着我们正在积极寻求关于功能效果如何的反馈。 处于预览状态的功能具备完整功能，但我们可能为了响应客户反馈而进行重大更改。 建议不要在生产环境中依赖处于预览状态的功能。 如果有任何关于预览功能的反馈，请通过[如何向 Microsoft Azure API 管理团队提问？](https://docs.azure.cn/api-management/#how-can-i-ask-the-microsoft-azure-api-management-team-a-question)中的联系选项之一告知我们。,https://docs.azure.cn/api-management/api-management-faq,api-management,
功能处于预览状态是什么意思？,当功能处于预览状态时，这意味着我们正在积极寻求关于功能效果如何的反馈。 处于预览状态的功能具备完整功能，但我们可能为了响应客户反馈而进行重大更改。 建议不要在生产环境中依赖处于预览状态的功能。 如果有任何关于预览功能的反馈，请通过[如何向 Microsoft Azure API 管理团队提问？](https://docs.azure.cn/api-management/#how-can-i-ask-the-microsoft-azure-api-management-team-a-question)中的联系选项之一告知我们。,https://docs.azure.cn/api-management/api-management-faq,api-management,
可不可以以编程方式管理 API 管理实例？,"可使用以下工具以编程方式管理 API 管理：
*   [API 管理 REST API](https://msdn.microsoft.com/library/azure/dn776326.aspx)。
*   [Microsoft Azure API 管理服务管理库 SDK](http://aka.ms/apimsdk)。
*   [服务部署](https://msdn.microsoft.com/library/mt619282.aspx)和[服务管理](https://msdn.microsoft.com/library/mt613507.aspx) PowerShell cmdlet。",https://docs.azure.cn/api-management/api-management-faq,api-management,
是否可以编程方式管理 API 管理实例？,"可使用以下工具以编程方式管理 API 管理：
*   [API 管理 REST API](https://msdn.microsoft.com/library/azure/dn776326.aspx)。
*   [Microsoft Azure API 管理服务管理库 SDK](http://aka.ms/apimsdk)。
*   [服务部署](https://msdn.microsoft.com/library/mt619282.aspx)和[服务管理](https://msdn.microsoft.com/library/mt613507.aspx) PowerShell cmdlet。",https://docs.azure.cn/api-management/api-management-faq,api-management,
能不能以编程方式管理 API 管理实例？,"可使用以下工具以编程方式管理 API 管理：
*   [API 管理 REST API](https://msdn.microsoft.com/library/azure/dn776326.aspx)。
*   [Microsoft Azure API 管理服务管理库 SDK](http://aka.ms/apimsdk)。
*   [服务部署](https://msdn.microsoft.com/library/mt619282.aspx)和[服务管理](https://msdn.microsoft.com/library/mt613507.aspx) PowerShell cmdlet。",https://docs.azure.cn/api-management/api-management-faq,api-management,
Azure API 管理是否适用于 Azure ExpressRoute？,Azure API 管理适用于 Azure ExpressRoute。,https://docs.azure.cn/api-management/api-management-faq,api-management,
如何将资源从一个订阅移到另一个订阅？,可以将 API 管理服务从一个订阅移到另一个订阅。要了解操作方法，请参阅[将资源移动到新资源组或订阅](https://docs.azure.cn/azure-resource-manager/resource-group-move-resources),https://docs.azure.cn/api-management/api-management-faq,api-management,
怎么将API管理服务移到另一个订阅？,可以将 API 管理服务从一个订阅移到另一个订阅。要了解操作方法，请参阅[将资源移动到新资源组或订阅](https://docs.azure.cn/azure-resource-manager/resource-group-move-resources),https://docs.azure.cn/api-management/api-management-faq,api-management,
怎样将资源从一个订阅移到另一个订阅？,可以将 API 管理服务从一个订阅移到另一个订阅。要了解操作方法，请参阅[将资源移动到新资源组或订阅](https://docs.azure.cn/azure-resource-manager/resource-group-move-resources),https://docs.azure.cn/api-management/api-management-faq,api-management,
是否可将 API 管理服务从一个订阅移到另一个订阅？,可以将 API 管理服务从一个订阅移到另一个订阅。要了解操作方法，请参阅[将资源移动到新资源组或订阅](https://docs.azure.cn/azure-resource-manager/resource-group-move-resources),https://docs.azure.cn/api-management/api-management-faq,api-management,
能不能将API管理服务从一个订阅移到另一个订阅？,可以将 API 管理服务从一个订阅移到另一个订阅。要了解操作方法，请参阅[将资源移动到新资源组或订阅](https://docs.azure.cn/azure-resource-manager/resource-group-move-resources),https://docs.azure.cn/api-management/api-management-faq,api-management,
使用 Azure 资源管理器模板创建 API 管理服务实例？, 可以使用 Azure 资源管理器模板创建 API 管理服务实例，请参阅 [Azure API 管理服务](http://aka.ms/apimtemplate)快速入门模板。,https://docs.azure.cn/api-management/api-management-faq,api-management,
可不可以使用 Azure 资源管理器模板创建 API 管理服务实例？, 可以使用 Azure 资源管理器模板创建 API 管理服务实例，请参阅 [Azure API 管理服务](http://aka.ms/apimtemplate)快速入门模板。,https://docs.azure.cn/api-management/api-management-faq,api-management,
可不可以使用模板创建 API 管理服务实例？, 可以使用 Azure 资源管理器模板创建 API 管理服务实例，请参阅 [Azure API 管理服务](http://aka.ms/apimtemplate)快速入门模板。,https://docs.azure.cn/api-management/api-management-faq,api-management,
是否可以使用 Azure 资源管理器模板创建 API 管理服务实例？, 可以使用 Azure 资源管理器模板创建 API 管理服务实例，请参阅 [Azure API 管理服务](http://aka.ms/apimtemplate)快速入门模板。,https://docs.azure.cn/api-management/api-management-faq,api-management,
能不能使用 Azure 资源管理器模板创建 API 管理服务实例？, 可以使用 Azure 资源管理器模板创建 API 管理服务实例，请参阅 [Azure API 管理服务](http://aka.ms/apimtemplate)快速入门模板。,https://docs.azure.cn/api-management/api-management-faq,api-management,
如何确保 API 管理网关和后端服务之间的连接安全？,"有多个选项可确保 API 管理网关和后端服务之间的连接安全。 可以：
 *   使用 HTTP 基本身份验证。 有关详细信息，请参阅[配置 API 设置](https://docs.azure.cn/api-management/api-management-howto-create-apis#configure-api-settings)。 
 *   使用[如何使用 Azure API 管理中的客户端证书身份验证确保后端服务安全](https://docs.azure.cn/api-management/api-management-howto-mutual-certificates)中所述的 SSL 相互身份验证。
 *   在后端服务上使用 IP 允许列表。 如果有标准或高级层 API 管理实例，则网关的 IP 地址保持不变。 可设置允许列表以允许此 IP 地址。 可在 Azure 门户中的仪表板上获取 API 管理实例的 IP 地址。
 *   将 API 管理实例连接到 Azure 虚拟网络。",https://docs.azure.cn/api-management/api-management-faq,api-management,
是否可以使用 AD FS 安全配置 OAuth 2.0 授权服务器？,若要了解如何使用 Active Directory 联合身份验证服务 (AD FS) 安全配置 OAuth 2.0 授权服务器，请参阅[在 API 管理中使用 ADFS](https://phvbaars.wordpress.com/2016/02/06/using-adfs-in-api-management/)。,https://docs.azure.cn/api-management/api-management-faq,api-management,
能不能使用 AD FS 安全配置 OAuth 2.0 授权服务器？,若要了解如何使用 Active Directory 联合身份验证服务 (AD FS) 安全配置 OAuth 2.0 授权服务器，请参阅[在 API 管理中使用 ADFS](https://phvbaars.wordpress.com/2016/02/06/using-adfs-in-api-management/)。,https://docs.azure.cn/api-management/api-management-faq,api-management,
如何在单个 API 中设置多个环境？,"若要在单个 API 中设置多个环境（例如，一个测试环境和一个生产环境），则有两个选项。 可以：
 *   在同一租户上托管不同的 API。
 *   在不同租户上托管相同的 API。",https://docs.azure.cn/api-management/api-management-faq,api-management,
怎么在单个 API 中设置多个环境？,"若要在单个 API 中设置多个环境（例如，一个测试环境和一个生产环境），则有两个选项。 可以：
 *   在同一租户上托管不同的 API。
 *   在不同租户上托管相同的 API。",https://docs.azure.cn/api-management/api-management-faq,api-management,
在 VNET 中部署 API 管理时所需的最小子网大小是多少？,部署 API 管理所需的最小子网大小为 [/29](https://docs.azure.cn/virtual-network/virtual-networks-faq#configuration)，这是 Azure 支持的最小子网大小。,https://docs.azure.cn/api-management/api-management-faq,api-management,
API 管理导入 API 是否存在限制或已知问题？,[Open API(Swagger)、WSDL 和 WADL 格式的已知问题和限制](https://docs.azure.cn/api-management/api-management-api-import-restrictions)。,https://docs.azure.cn/api-management/api-management-faq,api-management,
API 管理导入API有什么已知问题？,[Open API(Swagger)、WSDL 和 WADL 格式的已知问题和限制](https://docs.azure.cn/api-management/api-management-api-import-restrictions)。,https://docs.azure.cn/api-management/api-management-faq,api-management,
API 管理导入API有什么限制？,[Open API(Swagger)、WSDL 和 WADL 格式的已知问题和限制](https://docs.azure.cn/api-management/api-management-api-import-restrictions)。,https://docs.azure.cn/api-management/api-management-faq,api-management,
API 管理导入API有什么限制或已知问题？,[Open API(Swagger)、WSDL 和 WADL 格式的已知问题和限制](https://docs.azure.cn/api-management/api-management-api-import-restrictions)。,https://docs.azure.cn/api-management/api-management-faq,api-management,
导入 API 是否存在限制或已知问题？,[Open API(Swagger)、WSDL 和 WADL 格式的已知问题和限制](https://docs.azure.cn/api-management/api-management-api-import-restrictions)。,https://docs.azure.cn/api-management/api-management-faq,api-management,
什么是应用程序网关？,Azure 应用程序网关是服务形式的应用程序传送控制器 (ADC)，借此为应用程序提供各种第 7 层负载均衡功能。 它提供完全由 Azure 管理的高度可用、可缩放的服务。,https://docs.azure.cn/application-gateway/application-gateway-faq,application-gateway,
自定义探测的 Host 字段是什么意思？,"Host 字段指定要将探测发送到的名称。 仅在应用程序网关上配置了多站点的情况下适用，否则使用""127.0.0.1""。 此值不同于 VM 主机名，它采用 ://: 格式。",https://docs.azure.cn/application-gateway/application-gateway-faq,application-gateway,
检测模式是否会阻止流量？,检测模式不会阻止流量。检测模式仅记录触发了 WAF 规则的流量。,https://docs.azure.cn/application-gateway/application-gateway-faq,application-gateway,
手动扩展/缩减是否导致停机？,手动扩展/缩减不会出现停机，实例将分布在升级域和容错域上。,https://docs.azure.cn/application-gateway/application-gateway-faq,application-gateway,
是否可以在应用程序网关子网中部署其他任何组件？,不可以在应用程序网关子网中部署其他任何组件，但可以在子网中部署其他应用程序网关。,https://docs.azure.cn/application-gateway/application-gateway-faq,application-gateway,
应用程序网关是否支持自动缩放？,应用程序网关不支持自动缩放，但应用程序网关提供吞吐量指标，达到阈值时，可使用该指标发出警报。 手动添加实例或更改大小不会重新启动网关，且不会影响现有流量。,https://docs.azure.cn/application-gateway/application-gateway-faq,application-gateway,
应用程序网关是否原生与 Azure Key Vault 集成？,应用程序网关没有与 Azure Key Vault 集成。,https://docs.azure.cn/application-gateway/application-gateway-faq,application-gateway,
在何处可以找到应用程序网关的 IP 和 DNS？,"使用公共 IP 地址作为终结点时，可在公共 IP 地址资源中，或者在门户中应用程序网关的""概述""页上找到此信息。 对于内部 IP 地址，可在""概述""页上找到此信息。",https://docs.azure.cn/application-gateway/application-gateway-faq,application-gateway,
